epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749799959655,2025-06-13T10.32.39.655,0.000,-2.683,-2.744,0.183
1749799959665,2025-06-13T10.32.39.665,0.010,-2.744,-3.110,0.976
1749799959674,2025-06-13T10.32.39.674,0.019,-2.683,-2.988,0.549
1749799959684,2025-06-13T10.32.39.684,0.029,-2.683,-3.476,0.427
1749799959695,2025-06-13T10.32.39.695,0.040,-2.927,-3.720,0.244
1749799959705,2025-06-13T10.32.39.705,0.050,-3.049,-3.354,-0.122
1749799959714,2025-06-13T10.32.39.714,0.059,-2.744,-2.927,-0.244
1749799959724,2025-06-13T10.32.39.724,0.069,-1.951,-2.134,0.000
1749799959734,2025-06-13T10.32.39.734,0.079,-0.488,-0.854,0.305
1749799959745,2025-06-13T10.32.39.745,0.090,1.220,0.671,0.488
1749799959753,2025-06-13T10.32.39.753,0.098,3.049,2.134,0.610
1749799959764,2025-06-13T10.32.39.764,0.109,4.878,2.927,0.549
1749799959774,2025-06-13T10.32.39.774,0.119,6.585,3.598,0.488
1749799959784,2025-06-13T10.32.39.784,0.129,8.720,4.756,0.488
1749799959793,2025-06-13T10.32.39.793,0.138,10.976,6.402,0.732
1749799959803,2025-06-13T10.32.39.803,0.148,13.171,8.537,1.098
1749799959813,2025-06-13T10.32.39.813,0.158,16.037,10.427,1.402
1749799959824,2025-06-13T10.32.39.824,0.169,19.024,12.317,1.707
1749799959832,2025-06-13T10.32.39.832,0.177,21.159,14.756,2.134
1749799959843,2025-06-13T10.32.39.843,0.188,23.049,16.402,2.073
1749799959853,2025-06-13T10.32.39.853,0.198,23.537,17.256,2.439
1749799959863,2025-06-13T10.32.39.863,0.208,22.805,17.927,2.805
1749799959872,2025-06-13T10.32.39.872,0.217,21.585,17.195,2.622
1749799959882,2025-06-13T10.32.39.882,0.227,19.451,15.610,2.378
1749799959892,2025-06-13T10.32.39.892,0.237,16.341,13.415,2.134
1749799959903,2025-06-13T10.32.39.903,0.248,13.354,10.671,1.890
1749799959912,2025-06-13T10.32.39.912,0.257,10.671,7.988,1.951
1749799959922,2025-06-13T10.32.39.922,0.267,7.927,4.939,2.561
1749799959932,2025-06-13T10.32.39.932,0.277,5.244,2.927,2.866
1749799959942,2025-06-13T10.32.39.942,0.287,3.110,1.098,2.622
1749799959953,2025-06-13T10.32.39.953,0.298,1.220,-0.976,2.439
1749799959961,2025-06-13T10.32.39.961,0.306,-0.854,-3.110,2.317
1749799959972,2025-06-13T10.32.39.972,0.317,-2.256,-4.512,1.585
1749799959982,2025-06-13T10.32.39.982,0.327,-3.415,-5.122,1.037
1749799959991,2025-06-13T10.32.39.991,0.336,-4.512,-5.000,0.427
1749799960001,2025-06-13T10.32.40.001,0.346,-4.878,-4.390,-0.427
1749799960011,2025-06-13T10.32.40.011,0.356,-4.634,-3.780,-1.159
1749799960021,2025-06-13T10.32.40.021,0.366,-4.695,-3.293,-1.341
1749799960030,2025-06-13T10.32.40.030,0.375,-5.183,-2.805,-1.585
1749799960040,2025-06-13T10.32.40.040,0.385,-5.549,-2.500,-1.951
1749799960051,2025-06-13T10.32.40.051,0.396,-5.732,-2.683,-2.195
1749799960061,2025-06-13T10.32.40.061,0.406,-5.732,-3.598,-2.134
1749799960070,2025-06-13T10.32.40.070,0.415,-5.671,-4.512,-1.890
1749799960080,2025-06-13T10.32.40.080,0.425,-5.183,-5.244,-1.707
1749799960090,2025-06-13T10.32.40.090,0.435,-4.329,-5.671,-1.159
1749799960101,2025-06-13T10.32.40.101,0.446,-3.659,-5.244,-0.427
1749799960109,2025-06-13T10.32.40.109,0.454,-2.866,-4.329,0.427
1749799960120,2025-06-13T10.32.40.120,0.465,-2.012,-3.171,0.976
1749799960130,2025-06-13T10.32.40.130,0.475,-1.768,-2.256,1.341
1749799960140,2025-06-13T10.32.40.140,0.485,-1.951,-1.951,1.280
1749799960149,2025-06-13T10.32.40.149,0.494,-2.256,-2.195,1.341
1749799960159,2025-06-13T10.32.40.159,0.504,-2.317,-2.378,1.341
1749799960169,2025-06-13T10.32.40.169,0.514,-2.317,-2.622,1.220
1749799960180,2025-06-13T10.32.40.180,0.525,-2.439,-2.744,1.098
1749799960188,2025-06-13T10.32.40.188,0.533,-2.378,-2.866,0.793
1749799960199,2025-06-13T10.32.40.199,0.544,-2.378,-2.866,0.488
1749799960209,2025-06-13T10.32.40.209,0.554,-2.622,-2.561,0.488
1749799960219,2025-06-13T10.32.40.219,0.564,-2.805,-2.500,0.671
1749799960228,2025-06-13T10.32.40.228,0.573,-2.378,-2.744,0.732
1749799960238,2025-06-13T10.32.40.238,0.583,-2.073,-3.171,0.793
1749799960248,2025-06-13T10.32.40.248,0.593,-1.829,-3.232,0.610
1749799960259,2025-06-13T10.32.40.259,0.604,-1.280,-2.134,0.061
1749799960267,2025-06-13T10.32.40.267,0.612,-0.549,-0.305,-0.427
1749799960278,2025-06-13T10.32.40.278,0.623,0.122,1.341,-0.915
1749799960288,2025-06-13T10.32.40.288,0.633,0.549,2.134,-1.159
1749799960298,2025-06-13T10.32.40.298,0.643,0.549,2.256,-1.098
1749799960307,2025-06-13T10.32.40.307,0.652,0.610,2.317,-0.976
1749799960317,2025-06-13T10.32.40.317,0.662,0.671,2.622,-0.610
1749799960328,2025-06-13T10.32.40.328,0.673,0.366,2.500,0.061
1749799960338,2025-06-13T10.32.40.338,0.683,0.000,1.707,0.732
1749799960347,2025-06-13T10.32.40.347,0.692,-0.427,0.671,0.793
1749799960357,2025-06-13T10.32.40.357,0.702,-1.037,-0.610,0.671
1749799960367,2025-06-13T10.32.40.367,0.712,-1.768,-1.890,0.549
1749799960377,2025-06-13T10.32.40.377,0.722,-2.073,-2.866,0.305
1749799960386,2025-06-13T10.32.40.386,0.731,-1.890,-3.293,-0.061
1749799960396,2025-06-13T10.32.40.396,0.741,-1.524,-2.805,-0.366
1749799960407,2025-06-13T10.32.40.407,0.752,-0.793,-1.463,-0.488
1749799960417,2025-06-13T10.32.40.417,0.762,-0.061,0.061,-0.732
1749799960426,2025-06-13T10.32.40.426,0.771,0.549,1.280,-0.915
1749799960436,2025-06-13T10.32.40.436,0.781,0.854,2.073,-0.976
1749799960446,2025-06-13T10.32.40.446,0.791,0.915,2.073,-1.159
1749799960456,2025-06-13T10.32.40.456,0.801,0.671,1.402,-1.220
1749799960465,2025-06-13T10.32.40.465,0.810,0.488,0.061,-0.976
1749799960476,2025-06-13T10.32.40.476,0.821,0.061,-1.280,-0.671
1749799960486,2025-06-13T10.32.40.486,0.831,-0.427,-2.317,-0.427
1749799960496,2025-06-13T10.32.40.496,0.841,-0.671,-3.110,-0.305
1749799960505,2025-06-13T10.32.40.505,0.850,-0.732,-3.171,-0.122
1749799960515,2025-06-13T10.32.40.515,0.860,-0.549,-2.439,0.000
1749799960525,2025-06-13T10.32.40.525,0.870,-0.427,-0.976,-0.061
