epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749797579397,2025-06-13T09.52.59.397,0.000,0.732,-30.366,-60.000
1749797579406,2025-06-13T09.52.59.406,0.009,-0.061,-30.122,-60.366
1749797579416,2025-06-13T09.52.59.416,0.019,-3.841,-30.671,-57.256
1749797579426,2025-06-13T09.52.59.426,0.029,-10.061,-30.732,-53.415
1749797579437,2025-06-13T09.52.59.437,0.040,-17.134,-31.951,-49.695
1749797579445,2025-06-13T09.52.59.445,0.048,-24.207,-34.939,-45.549
1749797579456,2025-06-13T09.52.59.456,0.059,-31.463,-39.268,-40.854
1749797579466,2025-06-13T09.52.59.466,0.069,-37.378,-42.866,-35.244
1749797579476,2025-06-13T09.52.59.476,0.079,-40.366,-44.451,-29.939
1749797579485,2025-06-13T09.52.59.485,0.088,-43.232,-44.878,-26.341
1749797579495,2025-06-13T09.52.59.495,0.098,-45.671,-44.939,-21.585
1749797579505,2025-06-13T09.52.59.505,0.108,-45.854,-42.500,-15.854
1749797579516,2025-06-13T09.52.59.516,0.119,-44.268,-37.134,-11.707
1749797579525,2025-06-13T09.52.59.525,0.128,-40.793,-28.659,-8.780
1749797579535,2025-06-13T09.52.59.535,0.138,-35.793,-20.976,-6.768
1749797579545,2025-06-13T09.52.59.545,0.148,-30.244,-16.098,-5.366
1749797579555,2025-06-13T09.52.59.555,0.158,-24.207,-14.695,-3.537
1749797579564,2025-06-13T09.52.59.564,0.167,-16.341,-17.012,-2.378
1749797579574,2025-06-13T09.52.59.574,0.177,-8.415,-20.000,-1.463
1749797579585,2025-06-13T09.52.59.585,0.188,-2.317,-20.671,0.732
1749797579595,2025-06-13T09.52.59.595,0.198,1.768,-18.354,4.085
1749797579604,2025-06-13T09.52.59.604,0.207,5.976,-13.415,8.415
1749797579614,2025-06-13T09.52.59.614,0.217,11.829,-7.744,13.902
1749797579624,2025-06-13T09.52.59.624,0.227,17.988,-0.915,20.427
1749797579634,2025-06-13T09.52.59.634,0.237,21.098,8.171,28.659
1749797579643,2025-06-13T09.52.59.643,0.246,20.732,18.232,38.232
1749797579653,2025-06-13T09.52.59.653,0.256,16.951,24.634,48.598
1749797579664,2025-06-13T09.52.59.664,0.267,11.768,20.305,59.573
1749797579674,2025-06-13T09.52.59.674,0.277,8.537,5.244,71.098
1749797579683,2025-06-13T09.52.59.683,0.286,6.280,-13.415,83.659
1749797579693,2025-06-13T09.52.59.693,0.296,2.805,-24.451,97.988
1749797579703,2025-06-13T09.52.59.703,0.306,-1.524,-23.902,113.598
1749797579713,2025-06-13T09.52.59.713,0.316,-4.634,-16.524,128.110
1749797579722,2025-06-13T09.52.59.722,0.325,-5.610,-7.744,141.524
1749797579733,2025-06-13T09.52.59.733,0.336,-3.598,-1.341,151.098
1749797579743,2025-06-13T09.52.59.743,0.346,0.488,1.098,155.976
1749797579753,2025-06-13T09.52.59.753,0.356,5.854,-0.061,158.232
1749797579762,2025-06-13T09.52.59.762,0.365,11.890,-3.354,158.476
