epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749796923400,2025-06-13T09.42.03.400,0.000,-4.695,-18.537,-1.220
1749796923409,2025-06-13T09.42.03.409,0.009,-5.122,-17.866,-1.463
1749796923419,2025-06-13T09.42.03.419,0.019,-8.476,-17.317,0.610
1749796923429,2025-06-13T09.42.03.429,0.029,-10.549,-15.183,2.622
1749796923440,2025-06-13T09.42.03.440,0.040,-9.817,-12.622,3.659
1749796923448,2025-06-13T09.42.03.448,0.048,-9.085,-10.732,4.512
1749796923459,2025-06-13T09.42.03.459,0.059,-8.354,-10.000,5.671
1749796923469,2025-06-13T09.42.03.469,0.069,-7.012,-9.634,7.012
1749796923479,2025-06-13T09.42.03.479,0.079,-5.671,-9.634,7.866
1749796923488,2025-06-13T09.42.03.488,0.088,-4.390,-10.061,8.232
1749796923498,2025-06-13T09.42.03.498,0.098,-3.841,-9.512,8.354
1749796923508,2025-06-13T09.42.03.508,0.108,-4.146,-7.683,7.805
1749796923519,2025-06-13T09.42.03.519,0.119,-4.512,-5.305,6.646
1749796923527,2025-06-13T09.42.03.527,0.127,-5.366,-2.805,5.366
1749796923538,2025-06-13T09.42.03.538,0.138,-5.732,-0.061,3.780
1749796923548,2025-06-13T09.42.03.548,0.148,-4.268,2.988,2.256
1749796923558,2025-06-13T09.42.03.558,0.158,-1.646,5.976,0.854
1749796923567,2025-06-13T09.42.03.567,0.167,0.000,8.659,-0.854
1749796923577,2025-06-13T09.42.03.577,0.177,0.671,11.524,-2.500
1749796923588,2025-06-13T09.42.03.588,0.188,0.427,14.085,-3.598
1749796923598,2025-06-13T09.42.03.598,0.198,0.671,16.280,-4.634
1749796923607,2025-06-13T09.42.03.607,0.207,1.098,17.927,-5.427
1749796923617,2025-06-13T09.42.03.617,0.217,1.098,19.268,-5.976
1749796923627,2025-06-13T09.42.03.627,0.227,1.463,20.488,-6.463
1749796923637,2025-06-13T09.42.03.637,0.237,0.732,21.037,-7.073
1749796923646,2025-06-13T09.42.03.646,0.246,-0.732,19.939,-7.256
1749796923656,2025-06-13T09.42.03.656,0.256,-1.220,17.439,-7.500
1749796923667,2025-06-13T09.42.03.667,0.267,-1.402,14.634,-7.500
1749796923677,2025-06-13T09.42.03.677,0.277,-1.524,13.293,-7.195
1749796923686,2025-06-13T09.42.03.686,0.286,-2.622,13.841,-6.463
1749796923696,2025-06-13T09.42.03.696,0.296,-3.720,14.512,-5.305
1749796923706,2025-06-13T09.42.03.706,0.306,-4.207,14.878,-3.537
1749796923716,2025-06-13T09.42.03.716,0.316,-4.085,15.732,-1.951
1749796923725,2025-06-13T09.42.03.725,0.325,-4.207,16.585,-0.610
1749796923735,2025-06-13T09.42.03.735,0.335,-4.939,17.134,1.220
1749796923746,2025-06-13T09.42.03.746,0.346,-5.366,17.927,2.012
1749796923756,2025-06-13T09.42.03.756,0.356,-5.488,19.695,2.256
1749796923765,2025-06-13T09.42.03.765,0.365,-6.220,20.854,2.805
1749796923775,2025-06-13T09.42.03.775,0.375,-6.463,20.427,2.744
1749796923785,2025-06-13T09.42.03.785,0.385,-5.488,19.024,3.171
1749796923796,2025-06-13T09.42.03.796,0.396,-3.963,17.195,2.683
1749796923804,2025-06-13T09.42.03.804,0.404,-3.659,15.854,1.768
1749796923815,2025-06-13T09.42.03.815,0.415,-3.780,15.122,1.524
1749796923825,2025-06-13T09.42.03.825,0.425,-3.841,14.695,1.098
1749796923835,2025-06-13T09.42.03.835,0.435,-4.146,14.146,0.671
1749796923844,2025-06-13T09.42.03.844,0.444,-5.000,12.439,0.366
1749796923854,2025-06-13T09.42.03.854,0.454,-6.402,10.488,-0.244
1749796923864,2025-06-13T09.42.03.864,0.464,-8.415,9.573,-0.671
1749796923875,2025-06-13T09.42.03.875,0.475,-10.366,9.390,-0.854
1749796923883,2025-06-13T09.42.03.883,0.483,-12.195,9.573,-0.732
1749796923894,2025-06-13T09.42.03.894,0.494,-13.902,10.488,-0.366
1749796923904,2025-06-13T09.42.03.904,0.504,-14.573,12.988,0.305
1749796923914,2025-06-13T09.42.03.914,0.514,-15.305,15.915,1.098
1749796923923,2025-06-13T09.42.03.923,0.523,-15.854,18.415,1.585
1749796923933,2025-06-13T09.42.03.933,0.533,-15.854,20.122,1.951
1749796923943,2025-06-13T09.42.03.943,0.543,-15.793,20.854,2.317
1749796923954,2025-06-13T09.42.03.954,0.554,-15.488,20.793,2.988
1749796923963,2025-06-13T09.42.03.963,0.563,-14.573,19.939,3.293
1749796923973,2025-06-13T09.42.03.973,0.573,-13.902,19.451,2.866
1749796923983,2025-06-13T09.42.03.983,0.583,-13.659,19.756,1.890
1749796923993,2025-06-13T09.42.03.993,0.593,-15.122,19.390,0.366
1749796924002,2025-06-13T09.42.04.002,0.602,-17.378,17.439,-0.854
1749796924012,2025-06-13T09.42.04.012,0.612,-19.512,14.085,-1.463
1749796924023,2025-06-13T09.42.04.023,0.623,-21.159,9.939,-1.280
1749796924033,2025-06-13T09.42.04.033,0.633,-22.378,4.939,-0.488
1749796924042,2025-06-13T09.42.04.042,0.642,-23.659,0.366,0.610
1749796924052,2025-06-13T09.42.04.052,0.652,-26.037,-2.805,2.073
1749796924062,2025-06-13T09.42.04.062,0.662,-29.756,-6.585,4.695
1749796924072,2025-06-13T09.42.04.072,0.672,-34.512,-13.720,9.817
1749796924081,2025-06-13T09.42.04.081,0.681,-40.610,-25.671,14.939
1749796924091,2025-06-13T09.42.04.091,0.691,-48.598,-38.659,19.512
1749796924102,2025-06-13T09.42.04.102,0.702,-56.585,-48.110,25.000
1749796924112,2025-06-13T09.42.04.112,0.712,-61.585,-50.305,30.244
1749796924121,2025-06-13T09.42.04.121,0.721,-62.561,-46.037,32.866
1749796924131,2025-06-13T09.42.04.131,0.731,-61.220,-37.561,32.012
1749796924141,2025-06-13T09.42.04.141,0.741,-59.939,-29.268,28.415
1749796924151,2025-06-13T09.42.04.151,0.751,-58.537,-24.756,24.329
1749796924160,2025-06-13T09.42.04.160,0.760,-57.378,-25.305,22.256
1749796924171,2025-06-13T09.42.04.171,0.771,-55.671,-29.634,23.476
1749796924181,2025-06-13T09.42.04.181,0.781,-52.134,-37.073,25.000
1749796924191,2025-06-13T09.42.04.191,0.791,-46.463,-44.756,28.415
1749796924200,2025-06-13T09.42.04.200,0.800,-39.573,-45.305,33.293
1749796924210,2025-06-13T09.42.04.210,0.810,-31.646,-37.256,37.012
1749796924220,2025-06-13T09.42.04.220,0.820,-26.707,-25.061,35.549
