epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749799486974,2025-06-13T10.24.46.974,0.000,-40.244,-43.902,43.171
1749799486984,2025-06-13T10.24.46.984,0.010,-43.780,-45.610,43.232
1749799486994,2025-06-13T10.24.46.994,0.020,-54.634,-56.098,35.915
1749799487005,2025-06-13T10.24.47.005,0.031,-66.098,-77.744,31.159
1749799487013,2025-06-13T10.24.47.013,0.039,-80.793,-100.305,26.098
1749799487024,2025-06-13T10.24.47.024,0.050,-94.207,-116.707,7.988
1749799487034,2025-06-13T10.24.47.034,0.060,-106.707,-130.549,-15.793
1749799487044,2025-06-13T10.24.47.044,0.070,-114.085,-143.049,-40.305
1749799487053,2025-06-13T10.24.47.053,0.079,-119.634,-144.207,-56.463
1749799487063,2025-06-13T10.24.47.063,0.089,-125.854,-134.634,-61.951
1749799487073,2025-06-13T10.24.47.073,0.099,-126.220,-116.829,-69.268
1749799487084,2025-06-13T10.24.47.084,0.110,-119.207,-90.732,-78.476
1749799487092,2025-06-13T10.24.47.092,0.118,-109.024,-64.451,-85.732
1749799487103,2025-06-13T10.24.47.103,0.129,-99.329,-45.061,-97.256
1749799487113,2025-06-13T10.24.47.113,0.139,-91.890,-27.439,-108.598
1749799487123,2025-06-13T10.24.47.123,0.149,-87.134,-12.988,-115.061
1749799487132,2025-06-13T10.24.47.132,0.158,-84.756,-11.524,-120.793
1749799487142,2025-06-13T10.24.47.142,0.168,-82.195,-22.927,-124.024
1749799487153,2025-06-13T10.24.47.153,0.179,-77.683,-38.354,-123.780
1749799487163,2025-06-13T10.24.47.163,0.189,-76.951,-57.927,-117.134
1749799487172,2025-06-13T10.24.47.172,0.198,-77.317,-76.829,-105.122
1749799487182,2025-06-13T10.24.47.182,0.208,-78.841,-89.024,-90.732
1749799487192,2025-06-13T10.24.47.192,0.218,-74.878,-97.439,-79.024
1749799487202,2025-06-13T10.24.47.202,0.228,-65.549,-100.732,-68.049
1749799487211,2025-06-13T10.24.47.211,0.237,-54.329,-96.829,-57.805
1749799487221,2025-06-13T10.24.47.221,0.247,-47.012,-92.256,-55.244
1749799487232,2025-06-13T10.24.47.232,0.258,-44.695,-87.622,-60.915
1749799487242,2025-06-13T10.24.47.242,0.268,-43.110,-81.890,-68.720
1749799487251,2025-06-13T10.24.47.251,0.277,-36.098,-78.110,-78.841
1749799487261,2025-06-13T10.24.47.261,0.287,-25.915,-74.878,-87.805
1749799487271,2025-06-13T10.24.47.271,0.297,-19.512,-64.024,-89.878
1749799487281,2025-06-13T10.24.47.281,0.307,-22.744,-43.293,-88.537
1749799487290,2025-06-13T10.24.47.290,0.316,-28.354,-20.793,-88.902
1749799487300,2025-06-13T10.24.47.300,0.326,-30.732,-3.232,-87.378
1749799487311,2025-06-13T10.24.47.311,0.337,-30.000,8.598,-83.415
1749799487321,2025-06-13T10.24.47.321,0.347,-27.256,15.183,-79.573
1749799487330,2025-06-13T10.24.47.330,0.356,-21.585,18.841,-75.000
1749799487340,2025-06-13T10.24.47.340,0.366,-19.329,19.390,-70.122
1749799487350,2025-06-13T10.24.47.350,0.376,-20.427,15.793,-69.756
1749799487361,2025-06-13T10.24.47.361,0.387,-19.817,8.780,-71.098
1749799487369,2025-06-13T10.24.47.369,0.395,-15.732,0.183,-68.476
1749799487380,2025-06-13T10.24.47.380,0.406,-10.732,-7.561,-64.695
1749799487390,2025-06-13T10.24.47.390,0.416,-7.866,-14.268,-66.098
1749799487400,2025-06-13T10.24.47.400,0.426,-8.841,-18.293,-70.122
1749799487409,2025-06-13T10.24.47.409,0.435,-13.780,-16.524,-72.134
1749799487419,2025-06-13T10.24.47.419,0.445,-20.122,-9.573,-74.878
1749799487429,2025-06-13T10.24.47.429,0.455,-24.634,-1.463,-78.293
1749799487440,2025-06-13T10.24.47.440,0.466,-26.402,5.671,-78.780
1749799487448,2025-06-13T10.24.47.448,0.474,-25.793,11.646,-76.341
1749799487459,2025-06-13T10.24.47.459,0.485,-24.939,15.122,-74.329
1749799487469,2025-06-13T10.24.47.469,0.495,-25.671,19.817,-72.073
1749799487479,2025-06-13T10.24.47.479,0.505,-27.073,26.768,-69.329
1749799487488,2025-06-13T10.24.47.488,0.514,-28.963,29.207,-67.866
1749799487498,2025-06-13T10.24.47.498,0.524,-32.988,25.549,-66.829
1749799487509,2025-06-13T10.24.47.509,0.535,-37.988,21.220,-66.341
1749799487519,2025-06-13T10.24.47.519,0.545,-40.000,18.902,-64.024
1749799487528,2025-06-13T10.24.47.528,0.554,-39.024,18.537,-60.610
1749799487538,2025-06-13T10.24.47.538,0.564,-38.780,18.232,-58.902
1749799487548,2025-06-13T10.24.47.548,0.574,-38.780,14.573,-58.902
1749799487558,2025-06-13T10.24.47.558,0.584,-39.329,7.500,-59.146
1749799487567,2025-06-13T10.24.47.567,0.593,-41.341,2.195,-59.634
1749799487577,2025-06-13T10.24.47.577,0.603,-43.963,2.073,-60.610
1749799487588,2025-06-13T10.24.47.588,0.614,-45.976,7.500,-60.610
1749799487598,2025-06-13T10.24.47.598,0.624,-45.610,16.037,-58.354
1749799487607,2025-06-13T10.24.47.607,0.633,-43.902,22.500,-55.549
1749799487617,2025-06-13T10.24.47.617,0.643,-41.585,27.195,-54.878
1749799487627,2025-06-13T10.24.47.627,0.653,-37.988,31.098,-54.329
1749799487637,2025-06-13T10.24.47.637,0.663,-35.488,32.988,-52.622
1749799487646,2025-06-13T10.24.47.646,0.672,-37.378,32.805,-51.951
1749799487656,2025-06-13T10.24.47.656,0.682,-40.854,30.427,-53.232
1749799487667,2025-06-13T10.24.47.667,0.693,-43.598,26.098,-53.476
1749799487677,2025-06-13T10.24.47.677,0.703,-45.122,20.549,-53.232
1749799487686,2025-06-13T10.24.47.686,0.712,-43.232,16.463,-53.293
1749799487696,2025-06-13T10.24.47.696,0.722,-39.451,13.537,-52.988
1749799487706,2025-06-13T10.24.47.706,0.732,-39.695,11.707,-52.195
1749799487717,2025-06-13T10.24.47.717,0.743,-44.024,14.634,-53.841
1749799487727,2025-06-13T10.24.47.727,0.753,-47.561,20.488,-57.378
1749799487736,2025-06-13T10.24.47.736,0.762,-47.622,25.183,-60.122
1749799487746,2025-06-13T10.24.47.746,0.772,-46.159,27.256,-61.220
1749799487756,2025-06-13T10.24.47.756,0.782,-47.622,27.988,-60.427
1749799487765,2025-06-13T10.24.47.765,0.791,-50.366,29.634,-58.293
1749799487775,2025-06-13T10.24.47.775,0.801,-51.341,30.793,-54.512
1749799487785,2025-06-13T10.24.47.785,0.811,-50.061,30.976,-51.829
1749799487796,2025-06-13T10.24.47.796,0.822,-47.500,30.366,-51.890
1749799487804,2025-06-13T10.24.47.804,0.830,-43.232,28.293,-52.500
