epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749799194424,2025-06-13T10.19.54.424,0.000,-5.549,-11.524,1.707
1749799194434,2025-06-13T10.19.54.434,0.010,-5.122,-12.378,1.646
1749799194443,2025-06-13T10.19.54.443,0.019,-6.220,-14.390,1.463
1749799194453,2025-06-13T10.19.54.453,0.029,-7.134,-15.732,0.793
1749799194463,2025-06-13T10.19.54.463,0.039,-7.378,-15.549,0.305
1749799194473,2025-06-13T10.19.54.473,0.049,-7.012,-13.720,-0.244
1749799194482,2025-06-13T10.19.54.482,0.058,-6.585,-12.073,-0.671
1749799194492,2025-06-13T10.19.54.492,0.068,-6.768,-10.671,-0.915
1749799194503,2025-06-13T10.19.54.503,0.079,-6.463,-8.537,-1.159
1749799194513,2025-06-13T10.19.54.513,0.089,-5.793,-5.915,-1.098
1749799194522,2025-06-13T10.19.54.522,0.098,-5.671,-3.963,-0.854
1749799194532,2025-06-13T10.19.54.532,0.108,-5.427,-2.317,-0.549
1749799194542,2025-06-13T10.19.54.542,0.118,-4.695,-0.610,0.122
1749799194552,2025-06-13T10.19.54.552,0.128,-4.085,1.341,1.402
1749799194561,2025-06-13T10.19.54.561,0.137,-3.598,3.476,2.500
1749799194571,2025-06-13T10.19.54.571,0.147,-3.476,5.366,3.293
1749799194582,2025-06-13T10.19.54.582,0.158,-3.537,6.524,4.146
1749799194592,2025-06-13T10.19.54.592,0.168,-3.476,7.317,5.305
1749799194601,2025-06-13T10.19.54.601,0.177,-3.780,7.561,6.463
1749799194611,2025-06-13T10.19.54.611,0.187,-4.268,7.134,7.195
1749799194621,2025-06-13T10.19.54.621,0.197,-4.878,6.098,7.744
1749799194632,2025-06-13T10.19.54.632,0.208,-5.854,4.390,7.805
1749799194640,2025-06-13T10.19.54.640,0.216,-6.768,2.744,7.561
1749799194651,2025-06-13T10.19.54.651,0.227,-7.134,0.610,7.012
1749799194661,2025-06-13T10.19.54.661,0.237,-8.232,-1.280,6.829
1749799194671,2025-06-13T10.19.54.671,0.247,-8.963,-3.049,5.793
1749799194680,2025-06-13T10.19.54.680,0.256,-9.451,-4.634,5.061
1749799194690,2025-06-13T10.19.54.690,0.266,-9.268,-5.305,4.512
1749799194700,2025-06-13T10.19.54.700,0.276,-7.683,-5.122,4.756
1749799194711,2025-06-13T10.19.54.711,0.287,-6.646,-4.695,5.488
1749799194719,2025-06-13T10.19.54.719,0.295,-6.951,-4.268,4.512
1749799194730,2025-06-13T10.19.54.730,0.306,-7.439,-3.841,2.622
1749799194740,2025-06-13T10.19.54.740,0.316,-7.683,-4.024,1.402
1749799194750,2025-06-13T10.19.54.750,0.326,-7.378,-4.329,0.976
1749799194759,2025-06-13T10.19.54.759,0.335,-6.707,-3.598,0.854
1749799194769,2025-06-13T10.19.54.769,0.345,-5.915,-2.195,1.098
1749799194779,2025-06-13T10.19.54.779,0.355,-5.000,-0.488,1.707
1749799194790,2025-06-13T10.19.54.790,0.366,-4.207,1.098,2.256
1749799194799,2025-06-13T10.19.54.799,0.375,-3.659,2.378,2.805
1749799194809,2025-06-13T10.19.54.809,0.385,-3.293,3.354,3.293
1749799194819,2025-06-13T10.19.54.819,0.395,-3.049,4.207,3.780
1749799194829,2025-06-13T10.19.54.829,0.405,-2.866,4.756,4.390
1749799194838,2025-06-13T10.19.54.838,0.414,-2.744,4.939,5.122
1749799194848,2025-06-13T10.19.54.848,0.424,-2.683,5.122,5.732
1749799194859,2025-06-13T10.19.54.859,0.435,-2.439,5.000,6.280
1749799194869,2025-06-13T10.19.54.869,0.445,-2.378,4.756,6.646
1749799194878,2025-06-13T10.19.54.878,0.454,-2.439,4.268,6.829
1749799194888,2025-06-13T10.19.54.888,0.464,-2.622,3.476,6.707
