epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749802265486,2025-06-13T11.11.05.486,0.000,11.463,-8.902,4.207
1749802265496,2025-06-13T11.11.05.496,0.010,10.305,-9.390,5.488
1749802265505,2025-06-13T11.11.05.505,0.019,6.220,-9.695,8.171
1749802265515,2025-06-13T11.11.05.515,0.029,0.610,-7.561,11.890
1749802265526,2025-06-13T11.11.05.526,0.040,-5.854,-4.512,14.756
1749802265536,2025-06-13T11.11.05.536,0.050,-10.427,-0.610,17.256
1749802265545,2025-06-13T11.11.05.545,0.059,-13.171,5.305,19.573
1749802265555,2025-06-13T11.11.05.555,0.069,-15.549,10.732,20.793
1749802265565,2025-06-13T11.11.05.565,0.079,-18.354,14.085,21.524
1749802265575,2025-06-13T11.11.05.575,0.089,-20.061,15.244,21.707
1749802265584,2025-06-13T11.11.05.584,0.098,-20.610,14.451,21.220
1749802265594,2025-06-13T11.11.05.594,0.108,-20.305,12.622,20.915
1749802265605,2025-06-13T11.11.05.605,0.119,-20.366,12.012,21.524
1749802265615,2025-06-13T11.11.05.615,0.129,-20.854,12.805,22.683
1749802265624,2025-06-13T11.11.05.624,0.138,-21.220,14.573,24.207
1749802265634,2025-06-13T11.11.05.634,0.148,-21.890,17.134,26.402
1749802265644,2025-06-13T11.11.05.644,0.158,-22.805,18.659,28.415
1749802265655,2025-06-13T11.11.05.655,0.169,-21.463,19.329,29.756
1749802265663,2025-06-13T11.11.05.663,0.177,-19.451,19.573,30.488
1749802265674,2025-06-13T11.11.05.674,0.188,-17.988,18.354,30.244
1749802265684,2025-06-13T11.11.05.684,0.198,-17.073,15.061,30.488
1749802265694,2025-06-13T11.11.05.694,0.208,-16.220,11.098,31.585
1749802265703,2025-06-13T11.11.05.703,0.217,-15.427,8.659,33.110
1749802265713,2025-06-13T11.11.05.713,0.227,-15.061,9.512,35.122
1749802265723,2025-06-13T11.11.05.723,0.237,-15.061,11.829,37.439
1749802265734,2025-06-13T11.11.05.734,0.248,-14.634,14.146,39.634
1749802265742,2025-06-13T11.11.05.742,0.256,-15.366,15.976,42.683
1749802265753,2025-06-13T11.11.05.753,0.267,-17.927,16.890,46.280
1749802265763,2025-06-13T11.11.05.763,0.277,-19.756,17.744,49.695
1749802265773,2025-06-13T11.11.05.773,0.287,-20.549,18.598,52.195
1749802265782,2025-06-13T11.11.05.782,0.296,-21.220,17.988,53.415
1749802265792,2025-06-13T11.11.05.792,0.306,-19.085,17.561,54.451
1749802265802,2025-06-13T11.11.05.802,0.316,-16.951,18.415,55.549
1749802265813,2025-06-13T11.11.05.813,0.327,-14.634,19.573,56.585
1749802265822,2025-06-13T11.11.05.822,0.336,-11.951,20.793,57.317
1749802265832,2025-06-13T11.11.05.832,0.346,-9.573,20.671,58.171
1749802265842,2025-06-13T11.11.05.842,0.356,-5.915,19.817,58.841
1749802265852,2025-06-13T11.11.05.852,0.366,-0.915,21.951,59.939
1749802265861,2025-06-13T11.11.05.861,0.375,3.171,26.951,60.305
1749802265871,2025-06-13T11.11.05.871,0.385,6.037,31.951,59.268
1749802265882,2025-06-13T11.11.05.882,0.396,8.780,35.122,58.049
1749802265892,2025-06-13T11.11.05.892,0.406,11.585,36.098,56.768
1749802265901,2025-06-13T11.11.05.901,0.415,14.329,35.366,54.634
1749802265911,2025-06-13T11.11.05.911,0.425,16.463,33.049,51.280
1749802265921,2025-06-13T11.11.05.921,0.435,17.988,30.305,46.951
1749802265931,2025-06-13T11.11.05.931,0.445,19.695,26.951,42.988
1749802265940,2025-06-13T11.11.05.940,0.454,21.220,24.512,39.451
1749802265950,2025-06-13T11.11.05.950,0.464,21.220,23.171,35.610
1749802265961,2025-06-13T11.11.05.961,0.475,21.220,22.073,31.280
1749802265971,2025-06-13T11.11.05.971,0.485,21.159,20.915,27.256
1749802265980,2025-06-13T11.11.05.980,0.494,20.244,20.305,22.988
1749802265990,2025-06-13T11.11.05.990,0.504,19.207,19.573,18.232
1749802266000,2025-06-13T11.11.06.000,0.514,17.805,18.232,13.720
1749802266010,2025-06-13T11.11.06.010,0.524,16.402,16.463,9.268
1749802266019,2025-06-13T11.11.06.019,0.533,15.549,14.939,4.939
1749802266030,2025-06-13T11.11.06.030,0.544,13.902,13.415,1.098
1749802266040,2025-06-13T11.11.06.040,0.554,11.280,11.463,-2.500
1749802266050,2025-06-13T11.11.06.050,0.564,9.207,9.634,-4.817
1749802266059,2025-06-13T11.11.06.059,0.573,7.561,7.927,-6.524
1749802266069,2025-06-13T11.11.06.069,0.583,5.000,5.610,-7.195
1749802266079,2025-06-13T11.11.06.079,0.593,2.073,2.439,-6.341
1749802266090,2025-06-13T11.11.06.090,0.604,-0.610,-0.915,-4.756
1749802266098,2025-06-13T11.11.06.098,0.612,-3.659,-4.512,-2.927
1749802266109,2025-06-13T11.11.06.109,0.623,-7.378,-7.744,-0.610
1749802266119,2025-06-13T11.11.06.119,0.633,-11.402,-10.122,2.134
1749802266129,2025-06-13T11.11.06.129,0.643,-16.098,-11.951,5.244
1749802266138,2025-06-13T11.11.06.138,0.652,-20.915,-13.110,8.476
1749802266148,2025-06-13T11.11.06.148,0.662,-24.573,-13.232,11.159
1749802266158,2025-06-13T11.11.06.158,0.672,-28.415,-12.561,13.110
1749802266169,2025-06-13T11.11.06.169,0.683,-31.402,-12.134,14.268
1749802266177,2025-06-13T11.11.06.177,0.691,-34.634,-11.646,15.183
1749802266188,2025-06-13T11.11.06.188,0.702,-39.207,-12.073,16.585
1749802266198,2025-06-13T11.11.06.198,0.712,-43.720,-14.207,17.256
1749802266208,2025-06-13T11.11.06.208,0.722,-48.232,-17.256,17.256
1749802266217,2025-06-13T11.11.06.217,0.731,-51.890,-19.146,17.439
1749802266227,2025-06-13T11.11.06.227,0.741,-54.390,-18.659,17.256
1749802266238,2025-06-13T11.11.06.238,0.752,-57.317,-15.793,16.585
1749802266248,2025-06-13T11.11.06.248,0.762,-59.756,-11.585,15.610
1749802266257,2025-06-13T11.11.06.257,0.771,-60.488,-4.634,14.817
1749802266267,2025-06-13T11.11.06.267,0.781,-61.341,3.232,13.293
1749802266277,2025-06-13T11.11.06.277,0.791,-63.171,6.768,10.122
1749802266287,2025-06-13T11.11.06.287,0.801,-66.037,6.646,7.744
