epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749803222707,2025-06-13T11.27.02.707,0.000,-22.256,7.988,5.122
1749803222715,2025-06-13T11.27.02.715,0.008,-23.659,7.744,4.146
1749803222726,2025-06-13T11.27.02.726,0.019,-31.646,6.768,-2.622
1749803222736,2025-06-13T11.27.02.736,0.029,-41.341,8.232,-11.402
1749803222746,2025-06-13T11.27.02.746,0.039,-50.122,14.756,-17.378
1749803222755,2025-06-13T11.27.02.755,0.048,-58.902,22.866,-24.146
1749803222765,2025-06-13T11.27.02.765,0.058,-68.659,28.171,-32.683
1749803222775,2025-06-13T11.27.02.775,0.068,-78.293,35.976,-37.195
1749803222786,2025-06-13T11.27.02.786,0.079,-91.707,51.037,-37.927
1749803222794,2025-06-13T11.27.02.794,0.087,-106.098,66.524,-35.244
1749803222805,2025-06-13T11.27.02.805,0.098,-119.756,78.171,-31.768
1749803222815,2025-06-13T11.27.02.815,0.108,-129.878,83.232,-28.049
1749803222825,2025-06-13T11.27.02.825,0.118,-135.610,80.183,-23.720
1749803222834,2025-06-13T11.27.02.834,0.127,-138.354,69.573,-18.659
1749803222844,2025-06-13T11.27.02.844,0.137,-137.561,53.780,-12.439
1749803222855,2025-06-13T11.27.02.855,0.148,-133.293,40.183,-4.207
1749803222865,2025-06-13T11.27.02.865,0.158,-126.829,30.915,4.878
1749803222874,2025-06-13T11.27.02.874,0.167,-118.598,20.305,12.927
1749803222884,2025-06-13T11.27.02.884,0.177,-108.171,6.098,20.061
1749803222894,2025-06-13T11.27.02.894,0.187,-96.402,-4.939,29.024
1749803222904,2025-06-13T11.27.02.904,0.197,-85.793,-6.098,39.146
1749803222913,2025-06-13T11.27.02.913,0.206,-77.988,-0.732,49.268
1749803222923,2025-06-13T11.27.02.923,0.216,-71.829,6.098,60.183
1749803222934,2025-06-13T11.27.02.934,0.227,-63.963,14.146,70.549
1749803222944,2025-06-13T11.27.02.944,0.237,-55.122,21.220,78.476
1749803222953,2025-06-13T11.27.02.953,0.246,-45.915,24.634,84.634
1749803222963,2025-06-13T11.27.02.963,0.256,-37.195,26.098,90.732
1749803222973,2025-06-13T11.27.02.973,0.266,-28.537,27.927,97.012
1749803222983,2025-06-13T11.27.02.983,0.276,-20.244,28.293,102.927
1749803222992,2025-06-13T11.27.02.992,0.285,-14.756,24.146,108.354
1749803223002,2025-06-13T11.27.03.002,0.295,-11.524,16.524,114.329
1749803223013,2025-06-13T11.27.03.013,0.306,-9.207,5.549,120.244
1749803223023,2025-06-13T11.27.03.023,0.316,-6.341,-8.232,125.488
1749803223032,2025-06-13T11.27.03.032,0.325,-0.976,-23.049,129.573
1749803223042,2025-06-13T11.27.03.042,0.335,5.000,-34.817,132.805
1749803223052,2025-06-13T11.27.03.052,0.345,9.878,-42.561,135.671
1749803223063,2025-06-13T11.27.03.063,0.356,14.573,-48.841,139.512
1749803223071,2025-06-13T11.27.03.071,0.364,20.000,-54.085,143.049
1749803223082,2025-06-13T11.27.03.082,0.375,26.829,-56.951,143.171
1749803223092,2025-06-13T11.27.03.092,0.385,34.451,-59.390,140.671
1749803223102,2025-06-13T11.27.03.102,0.395,41.707,-65.061,139.451
1749803223111,2025-06-13T11.27.03.111,0.404,49.878,-72.927,137.805
1749803223121,2025-06-13T11.27.03.121,0.414,58.659,-81.829,130.488
1749803223131,2025-06-13T11.27.03.131,0.424,68.110,-91.341,116.768
1749803223142,2025-06-13T11.27.03.142,0.435,76.402,-98.049,102.622
1749803223150,2025-06-13T11.27.03.150,0.443,83.476,-98.476,92.500
1749803223161,2025-06-13T11.27.03.161,0.454,89.512,-93.110,85.427
1749803223171,2025-06-13T11.27.03.171,0.464,94.024,-86.098,78.598
1749803223181,2025-06-13T11.27.03.181,0.474,95.305,-78.415,73.476
1749803223190,2025-06-13T11.27.03.190,0.483,93.049,-67.073,70.488
1749803223200,2025-06-13T11.27.03.200,0.493,89.268,-54.451,69.207
1749803223210,2025-06-13T11.27.03.210,0.503,84.878,-47.500,67.317
1749803223221,2025-06-13T11.27.03.221,0.514,79.451,-47.317,63.232
1749803223230,2025-06-13T11.27.03.230,0.523,73.963,-50.305,55.976
1749803223240,2025-06-13T11.27.03.240,0.533,67.683,-51.220,47.134
1749803223250,2025-06-13T11.27.03.250,0.543,61.341,-44.207,43.354
1749803223260,2025-06-13T11.27.03.260,0.553,56.707,-31.098,40.915
1749803223269,2025-06-13T11.27.03.269,0.562,52.134,-16.890,34.024
1749803223279,2025-06-13T11.27.03.279,0.572,47.561,-5.549,26.220
1749803223290,2025-06-13T11.27.03.290,0.583,45.732,6.037,22.073
1749803223300,2025-06-13T11.27.03.300,0.593,46.402,17.500,20.244
1749803223309,2025-06-13T11.27.03.309,0.602,42.927,24.817,16.707
1749803223319,2025-06-13T11.27.03.319,0.612,35.915,26.341,14.085
1749803223329,2025-06-13T11.27.03.329,0.622,33.537,22.805,10.854
1749803223339,2025-06-13T11.27.03.339,0.632,34.268,16.890,6.646
1749803223348,2025-06-13T11.27.03.348,0.641,30.976,11.280,5.122
1749803223358,2025-06-13T11.27.03.358,0.651,28.415,10.854,6.280
1749803223369,2025-06-13T11.27.03.369,0.662,29.939,11.585,8.963
1749803223379,2025-06-13T11.27.03.379,0.672,29.146,10.549,8.476
1749803223388,2025-06-13T11.27.03.388,0.681,24.451,10.122,2.744
1749803223398,2025-06-13T11.27.03.398,0.691,16.159,10.244,-2.378
1749803223408,2025-06-13T11.27.03.408,0.701,7.744,16.890,-5.000
1749803223418,2025-06-13T11.27.03.418,0.711,3.171,32.988,-8.476
1749803223427,2025-06-13T11.27.03.427,0.720,2.561,52.500,-14.024
