epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749800920384,2025-06-13T10.48.40.384,0.000,9.207,23.171,6.098
1749800920394,2025-06-13T10.48.40.394,0.010,8.841,21.951,6.159
1749800920405,2025-06-13T10.48.40.405,0.021,6.585,18.415,6.890
1749800920413,2025-06-13T10.48.40.413,0.029,3.780,14.390,9.817
1749800920424,2025-06-13T10.48.40.424,0.040,1.646,15.427,13.720
1749800920434,2025-06-13T10.48.40.434,0.050,-0.610,21.220,17.256
1749800920444,2025-06-13T10.48.40.444,0.060,-3.659,27.866,20.305
1749800920453,2025-06-13T10.48.40.453,0.069,-7.378,33.049,23.415
1749800920463,2025-06-13T10.48.40.463,0.079,-9.329,37.744,26.220
1749800920473,2025-06-13T10.48.40.473,0.089,-9.390,40.976,29.634
1749800920484,2025-06-13T10.48.40.484,0.100,-9.329,42.195,34.451
1749800920492,2025-06-13T10.48.40.492,0.108,-10.305,40.366,38.598
1749800920503,2025-06-13T10.48.40.503,0.119,-10.122,36.707,41.220
1749800920513,2025-06-13T10.48.40.513,0.129,-7.805,33.963,43.659
1749800920523,2025-06-13T10.48.40.523,0.139,-5.671,32.622,46.585
1749800920532,2025-06-13T10.48.40.532,0.148,-3.963,32.805,48.598
1749800920542,2025-06-13T10.48.40.542,0.158,-1.280,36.402,50.549
1749800920553,2025-06-13T10.48.40.553,0.169,2.744,43.049,53.659
1749800920563,2025-06-13T10.48.40.563,0.179,6.585,48.659,57.622
1749800920572,2025-06-13T10.48.40.572,0.188,9.207,51.098,60.488
1749800920582,2025-06-13T10.48.40.582,0.198,11.220,51.098,61.585
1749800920592,2025-06-13T10.48.40.592,0.208,12.134,50.549,63.171
1749800920602,2025-06-13T10.48.40.602,0.218,13.049,50.915,65.854
1749800920611,2025-06-13T10.48.40.611,0.227,16.220,53.049,68.841
1749800920621,2025-06-13T10.48.40.621,0.237,19.329,56.280,71.037
1749800920632,2025-06-13T10.48.40.632,0.248,20.915,57.561,72.012
1749800920642,2025-06-13T10.48.40.642,0.258,22.744,57.927,73.415
1749800920651,2025-06-13T10.48.40.651,0.267,22.561,58.537,75.366
1749800920661,2025-06-13T10.48.40.661,0.277,19.085,57.378,76.037
1749800920671,2025-06-13T10.48.40.671,0.287,15.488,53.659,75.305
1749800920681,2025-06-13T10.48.40.681,0.297,13.171,50.793,74.878
