epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749801808443,2025-06-13T11.03.28.443,0.000,108.293,9.695,-50.732
1749801808453,2025-06-13T11.03.28.453,0.010,109.268,10.549,-50.244
1749801808463,2025-06-13T11.03.28.463,0.020,115.610,13.841,-44.268
1749801808472,2025-06-13T11.03.28.472,0.029,123.293,15.854,-37.500
1749801808482,2025-06-13T11.03.28.482,0.039,131.341,14.451,-32.378
1749801808493,2025-06-13T11.03.28.493,0.050,138.720,9.512,-26.463
1749801808503,2025-06-13T11.03.28.503,0.060,143.354,3.293,-20.427
1749801808512,2025-06-13T11.03.28.512,0.069,146.341,-1.890,-16.280
1749801808522,2025-06-13T11.03.28.522,0.079,148.720,-7.378,-12.683
1749801808532,2025-06-13T11.03.28.532,0.089,150.305,-12.927,-8.720
1749801808542,2025-06-13T11.03.28.542,0.099,150.610,-16.829,-3.659
1749801808551,2025-06-13T11.03.28.551,0.108,149.146,-19.024,0.732
1749801808561,2025-06-13T11.03.28.561,0.118,145.183,-19.756,4.451
1749801808572,2025-06-13T11.03.28.572,0.129,140.793,-18.354,8.293
1749801808582,2025-06-13T11.03.28.582,0.139,137.073,-15.671,12.439
1749801808591,2025-06-13T11.03.28.591,0.148,133.537,-12.378,16.341
1749801808601,2025-06-13T11.03.28.601,0.158,128.720,-9.573,19.451
1749801808611,2025-06-13T11.03.28.611,0.168,124.024,-8.415,22.805
1749801808622,2025-06-13T11.03.28.622,0.179,119.573,-11.463,25.671
1749801808630,2025-06-13T11.03.28.630,0.187,113.171,-19.634,27.500
1749801808641,2025-06-13T11.03.28.641,0.198,104.573,-28.841,29.695
1749801808651,2025-06-13T11.03.28.651,0.208,96.829,-34.451,30.854
1749801808661,2025-06-13T11.03.28.661,0.218,91.951,-34.268,31.220
1749801808670,2025-06-13T11.03.28.670,0.227,88.110,-30.549,31.341
1749801808680,2025-06-13T11.03.28.680,0.237,84.207,-27.805,30.427
1749801808690,2025-06-13T11.03.28.690,0.247,81.951,-25.366,30.732
1749801808701,2025-06-13T11.03.28.701,0.258,81.159,-19.573,31.890
1749801808709,2025-06-13T11.03.28.709,0.266,79.207,-12.866,31.951
1749801808720,2025-06-13T11.03.28.720,0.277,75.732,-9.939,30.244
1749801808730,2025-06-13T11.03.28.730,0.287,73.171,-11.646,27.561
1749801808740,2025-06-13T11.03.28.740,0.297,72.927,-16.524,25.183
1749801808749,2025-06-13T11.03.28.749,0.306,73.110,-23.720,23.780
1749801808759,2025-06-13T11.03.28.759,0.316,72.927,-30.976,20.366
1749801808769,2025-06-13T11.03.28.769,0.326,71.524,-36.159,17.073
1749801808780,2025-06-13T11.03.28.780,0.337,68.354,-38.415,14.573
1749801808789,2025-06-13T11.03.28.789,0.346,63.841,-38.537,11.951
1749801808799,2025-06-13T11.03.28.799,0.356,60.488,-36.402,8.720
1749801808809,2025-06-13T11.03.28.809,0.366,56.890,-32.134,5.000
1749801808819,2025-06-13T11.03.28.819,0.376,54.146,-25.366,1.220
1749801808828,2025-06-13T11.03.28.828,0.385,52.866,-16.463,-2.805
1749801808838,2025-06-13T11.03.28.838,0.395,50.976,-7.622,-7.561
1749801808849,2025-06-13T11.03.28.849,0.406,48.293,-1.341,-12.317
1749801808859,2025-06-13T11.03.28.859,0.416,43.110,-0.610,-16.098
1749801808868,2025-06-13T11.03.28.868,0.425,38.720,-5.000,-19.512
1749801808878,2025-06-13T11.03.28.878,0.435,35.671,-10.183,-20.976
1749801808888,2025-06-13T11.03.28.888,0.445,32.439,-12.988,-20.976
1749801808898,2025-06-13T11.03.28.898,0.455,28.354,-11.463,-20.976
1749801808907,2025-06-13T11.03.28.907,0.464,22.012,-5.488,-19.756
1749801808917,2025-06-13T11.03.28.917,0.474,15.549,2.317,-18.841
1749801808928,2025-06-13T11.03.28.928,0.485,10.732,8.171,-18.110
1749801808938,2025-06-13T11.03.28.938,0.495,5.244,10.183,-16.098
1749801808947,2025-06-13T11.03.28.947,0.504,0.793,10.610,-12.561
1749801808957,2025-06-13T11.03.28.957,0.514,-2.683,12.012,-9.146
1749801808967,2025-06-13T11.03.28.967,0.524,-4.512,14.146,-5.793
1749801808978,2025-06-13T11.03.28.978,0.535,-2.683,16.037,-2.073
1749801808986,2025-06-13T11.03.28.986,0.543,-0.610,16.951,2.805
1749801808997,2025-06-13T11.03.28.997,0.554,-0.183,17.317,8.841
1749801809007,2025-06-13T11.03.29.007,0.564,-0.122,18.720,16.280
1749801809017,2025-06-13T11.03.29.017,0.574,-1.402,20.732,23.963
1749801809026,2025-06-13T11.03.29.026,0.583,-3.598,21.402,31.463
1749801809036,2025-06-13T11.03.29.036,0.593,-4.939,20.854,39.024
1749801809046,2025-06-13T11.03.29.046,0.603,-4.390,22.378,45.854
1749801809057,2025-06-13T11.03.29.057,0.614,-3.963,27.805,50.854
1749801809065,2025-06-13T11.03.29.065,0.622,-4.268,35.183,56.098
1749801809076,2025-06-13T11.03.29.076,0.633,-6.524,39.390,61.646
1749801809086,2025-06-13T11.03.29.086,0.643,-8.476,37.683,65.976
1749801809096,2025-06-13T11.03.29.096,0.653,-8.963,34.817,72.195
1749801809105,2025-06-13T11.03.29.105,0.662,-11.890,33.659,78.598
1749801809115,2025-06-13T11.03.29.115,0.672,-16.707,32.256,79.390
