epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749802934148,2025-06-13T11.22.14.148,0.000,-16.341,-17.012,29.390
1749802934158,2025-06-13T11.22.14.158,0.010,-15.976,-16.707,29.695
1749802934167,2025-06-13T11.22.14.167,0.019,-13.598,-17.073,29.268
1749802934177,2025-06-13T11.22.14.177,0.029,-10.610,-17.561,28.049
1749802934187,2025-06-13T11.22.14.187,0.039,-8.110,-18.232,26.159
1749802934197,2025-06-13T11.22.14.197,0.049,-6.098,-19.268,23.780
1749802934206,2025-06-13T11.22.14.206,0.058,-4.146,-20.122,20.854
1749802934216,2025-06-13T11.22.14.216,0.068,-2.256,-20.305,17.805
1749802934227,2025-06-13T11.22.14.227,0.079,0.000,-19.390,14.756
1749802934237,2025-06-13T11.22.14.237,0.089,2.317,-17.988,11.463
1749802934246,2025-06-13T11.22.14.246,0.098,4.878,-15.915,8.415
1749802934256,2025-06-13T11.22.14.256,0.108,7.622,-13.171,5.549
1749802934266,2025-06-13T11.22.14.266,0.118,10.244,-9.817,2.866
1749802934276,2025-06-13T11.22.14.276,0.128,11.951,-6.341,-0.183
1749802934285,2025-06-13T11.22.14.285,0.137,13.049,-3.232,-3.354
1749802934295,2025-06-13T11.22.14.295,0.147,13.902,-1.159,-6.524
1749802934306,2025-06-13T11.22.14.306,0.158,14.268,-0.183,-9.573
1749802934316,2025-06-13T11.22.14.316,0.168,14.512,0.061,-12.439
1749802934325,2025-06-13T11.22.14.325,0.177,14.634,0.671,-15.549
1749802934335,2025-06-13T11.22.14.335,0.187,14.146,1.890,-18.171
1749802934345,2025-06-13T11.22.14.345,0.197,13.476,3.537,-20.244
1749802934356,2025-06-13T11.22.14.356,0.208,12.866,4.634,-22.134
1749802934364,2025-06-13T11.22.14.364,0.216,12.744,5.671,-23.537
1749802934375,2025-06-13T11.22.14.375,0.227,12.866,6.707,-24.573
1749802934385,2025-06-13T11.22.14.385,0.237,12.622,7.866,-25.366
1749802934395,2025-06-13T11.22.14.395,0.247,12.134,9.512,-26.037
1749802934404,2025-06-13T11.22.14.404,0.256,12.134,10.732,-26.220
1749802934414,2025-06-13T11.22.14.414,0.266,12.683,11.402,-25.610
1749802934424,2025-06-13T11.22.14.424,0.276,12.683,11.220,-25.000
1749802934435,2025-06-13T11.22.14.435,0.287,13.049,9.634,-25.061
1749802934443,2025-06-13T11.22.14.443,0.295,13.171,7.195,-25.061
1749802934454,2025-06-13T11.22.14.454,0.306,12.988,4.390,-24.756
1749802934464,2025-06-13T11.22.14.464,0.316,13.659,1.098,-24.329
1749802934474,2025-06-13T11.22.14.474,0.326,15.122,-2.805,-23.963
1749802934483,2025-06-13T11.22.14.483,0.335,16.707,-6.707,-23.598
1749802934493,2025-06-13T11.22.14.493,0.345,17.622,-10.610,-23.720
1749802934503,2025-06-13T11.22.14.503,0.355,18.049,-14.268,-24.207
1749802934514,2025-06-13T11.22.14.514,0.366,18.415,-16.402,-24.451
1749802934523,2025-06-13T11.22.14.523,0.375,18.720,-16.280,-24.329
1749802934533,2025-06-13T11.22.14.533,0.385,19.695,-14.451,-23.963
1749802934543,2025-06-13T11.22.14.543,0.395,20.854,-11.951,-23.476
1749802934553,2025-06-13T11.22.14.553,0.405,21.707,-9.756,-23.171
1749802934562,2025-06-13T11.22.14.562,0.414,22.317,-7.988,-22.866
1749802934572,2025-06-13T11.22.14.572,0.424,22.683,-6.829,-22.866
1749802934583,2025-06-13T11.22.14.583,0.435,22.378,-6.280,-22.927
1749802934593,2025-06-13T11.22.14.593,0.445,22.134,-6.524,-22.683
1749802934602,2025-06-13T11.22.14.602,0.454,22.073,-7.500,-23.049
1749802934612,2025-06-13T11.22.14.612,0.464,21.524,-8.598,-23.841
1749802934622,2025-06-13T11.22.14.622,0.474,20.793,-9.085,-24.207
1749802934632,2025-06-13T11.22.14.632,0.484,19.878,-9.085,-25.061
1749802934641,2025-06-13T11.22.14.641,0.493,18.049,-8.415,-25.793
1749802934651,2025-06-13T11.22.14.651,0.503,16.341,-7.439,-25.732
1749802934662,2025-06-13T11.22.14.662,0.514,15.366,-6.585,-25.610
1749802934672,2025-06-13T11.22.14.672,0.524,14.268,-5.305,-24.756
1749802934681,2025-06-13T11.22.14.681,0.533,13.232,-4.085,-23.598
1749802934691,2025-06-13T11.22.14.691,0.543,12.439,-2.439,-22.866
1749802934701,2025-06-13T11.22.14.701,0.553,11.220,-0.732,-21.280
1749802934712,2025-06-13T11.22.14.712,0.564,9.817,0.854,-19.939
1749802934720,2025-06-13T11.22.14.720,0.572,8.293,1.707,-19.207
1749802934731,2025-06-13T11.22.14.731,0.583,6.646,1.707,-18.293
1749802934741,2025-06-13T11.22.14.741,0.593,4.817,1.037,-17.683
1749802934751,2025-06-13T11.22.14.751,0.603,2.988,0.183,-17.256
1749802934760,2025-06-13T11.22.14.760,0.612,1.463,-0.183,-16.159
1749802934770,2025-06-13T11.22.14.770,0.622,0.366,0.427,-14.207
1749802934780,2025-06-13T11.22.14.780,0.632,-0.122,1.341,-12.012
1749802934791,2025-06-13T11.22.14.791,0.643,-0.854,2.683,-10.122
1749802934799,2025-06-13T11.22.14.799,0.651,-1.280,3.841,-8.354
1749802934810,2025-06-13T11.22.14.810,0.662,-1.463,4.634,-6.463
1749802934820,2025-06-13T11.22.14.820,0.672,-1.524,5.427,-4.756
1749802934830,2025-06-13T11.22.14.830,0.682,-2.134,5.854,-3.293
1749802934839,2025-06-13T11.22.14.839,0.691,-2.988,5.793,-2.195
1749802934849,2025-06-13T11.22.14.849,0.701,-3.963,5.671,-1.159
1749802934859,2025-06-13T11.22.14.859,0.711,-5.244,5.427,-0.183
1749802934870,2025-06-13T11.22.14.870,0.722,-6.524,5.000,0.915
1749802934878,2025-06-13T11.22.14.878,0.730,-7.805,4.512,1.829
1749802934889,2025-06-13T11.22.14.889,0.741,-8.841,4.207,2.927
1749802934899,2025-06-13T11.22.14.899,0.751,-9.817,4.512,4.451
1749802934909,2025-06-13T11.22.14.909,0.761,-10.732,5.305,6.098
1749802934918,2025-06-13T11.22.14.918,0.770,-11.829,6.646,7.500
1749802934928,2025-06-13T11.22.14.928,0.780,-12.866,8.232,9.085
1749802934939,2025-06-13T11.22.14.939,0.791,-14.085,9.634,10.122
1749802934949,2025-06-13T11.22.14.949,0.801,-16.280,12.195,10.854
1749802934958,2025-06-13T11.22.14.958,0.810,-18.354,15.976,11.890
1749802934968,2025-06-13T11.22.14.968,0.820,-19.695,20.366,13.537
1749802934978,2025-06-13T11.22.14.978,0.830,-20.610,25.549,15.915
1749802934988,2025-06-13T11.22.14.988,0.840,-21.341,30.061,17.744
1749802934997,2025-06-13T11.22.14.997,0.849,-21.829,32.256,19.024
1749802935007,2025-06-13T11.22.15.007,0.859,-21.524,31.890,21.159
1749802935018,2025-06-13T11.22.15.018,0.870,-20.488,30.366,23.110
1749802935028,2025-06-13T11.22.15.028,0.880,-18.659,28.232,23.963
1749802935037,2025-06-13T11.22.15.037,0.889,-17.805,24.756,24.756
1749802935047,2025-06-13T11.22.15.047,0.899,-18.963,20.000,25.732
1749802935057,2025-06-13T11.22.15.057,0.909,-20.732,14.695,25.793
1749802935067,2025-06-13T11.22.15.067,0.919,-22.195,9.939,25.976
1749802935076,2025-06-13T11.22.15.076,0.928,-23.415,6.220,26.768
1749802935087,2025-06-13T11.22.15.087,0.939,-24.695,3.963,27.561
1749802935097,2025-06-13T11.22.15.097,0.949,-25.976,2.927,28.110
1749802935107,2025-06-13T11.22.15.107,0.959,-26.646,1.646,28.659
1749802935116,2025-06-13T11.22.15.116,0.968,-26.646,-1.524,28.659
1749802935126,2025-06-13T11.22.15.126,0.978,-26.402,-6.098,28.232
1749802935136,2025-06-13T11.22.15.136,0.988,-26.341,-11.159,27.439
