epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749641119156,2025-06-11T14.25.19.156,0.000,-68.049,49.695,-40.427
1749641119166,2025-06-11T14.25.19.166,0.010,-67.073,51.585,-39.756
1749641119175,2025-06-11T14.25.19.175,0.019,-61.890,57.439,-37.317
1749641119185,2025-06-11T14.25.19.185,0.029,-54.451,60.183,-35.366
1749641119196,2025-06-11T14.25.19.196,0.040,-48.110,55.488,-34.085
1749641119206,2025-06-11T14.25.19.206,0.050,-43.354,48.232,-31.524
1749641119215,2025-06-11T14.25.19.215,0.059,-40.732,43.780,-28.171
1749641119225,2025-06-11T14.25.19.225,0.069,-38.963,40.427,-23.963
1749641119235,2025-06-11T14.25.19.235,0.079,-36.463,39.573,-19.390
1749641119245,2025-06-11T14.25.19.245,0.089,-35.366,42.866,-15.427
1749641119254,2025-06-11T14.25.19.254,0.098,-33.659,43.049,-12.439
1749641119264,2025-06-11T14.25.19.264,0.108,-28.659,36.951,-9.146
1749641119275,2025-06-11T14.25.19.275,0.119,-22.317,26.890,-5.305
1749641119285,2025-06-11T14.25.19.285,0.129,-15.732,16.402,-2.866
1749641119294,2025-06-11T14.25.19.294,0.138,-8.780,8.720,-1.037
1749641119304,2025-06-11T14.25.19.304,0.148,-2.561,4.451,1.951
1749641119314,2025-06-11T14.25.19.314,0.158,2.866,3.354,5.915
1749641119324,2025-06-11T14.25.19.324,0.168,7.561,5.366,11.159
1749641119333,2025-06-11T14.25.19.333,0.177,12.439,9.390,16.768
1749641119343,2025-06-11T14.25.19.343,0.187,17.927,13.110,20.549
1749641119354,2025-06-11T14.25.19.354,0.198,22.744,15.976,22.683
1749641119364,2025-06-11T14.25.19.364,0.208,25.366,17.378,23.902
1749641119373,2025-06-11T14.25.19.373,0.217,26.707,15.122,23.232
1749641119383,2025-06-11T14.25.19.383,0.227,29.695,12.805,20.549
1749641119393,2025-06-11T14.25.19.393,0.237,33.049,10.854,16.768
1749641119404,2025-06-11T14.25.19.404,0.248,36.341,6.707,11.463
1749641119412,2025-06-11T14.25.19.412,0.256,37.805,2.195,6.341
1749641119423,2025-06-11T14.25.19.423,0.267,38.720,0.122,3.841
1749641119433,2025-06-11T14.25.19.433,0.277,40.854,6.159,0.732
1749641119443,2025-06-11T14.25.19.443,0.287,41.524,19.573,-3.415
1749641119452,2025-06-11T14.25.19.452,0.296,41.280,31.402,-6.646
1749641119462,2025-06-11T14.25.19.462,0.306,42.012,33.720,-10.671
1749641119472,2025-06-11T14.25.19.472,0.316,43.110,27.317,-17.805
1749641119483,2025-06-11T14.25.19.483,0.327,45.732,18.841,-26.646
1749641119491,2025-06-11T14.25.19.491,0.335,46.646,13.720,-35.549
1749641119502,2025-06-11T14.25.19.502,0.346,47.012,12.073,-46.463
1749641119512,2025-06-11T14.25.19.512,0.356,49.634,14.390,-57.927
