epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749646115429,2025-06-11T15.48.35.429,0.000,34.024,-33.476,8.720
1749646115439,2025-06-11T15.48.35.439,0.010,34.146,-32.927,8.232
1749646115449,2025-06-11T15.48.35.449,0.020,32.256,-35.610,7.927
1749646115460,2025-06-11T15.48.35.460,0.031,28.293,-42.744,7.744
1749646115469,2025-06-11T15.48.35.469,0.040,24.451,-48.232,5.671
1749646115479,2025-06-11T15.48.35.479,0.050,22.927,-48.963,1.463
1749646115489,2025-06-11T15.48.35.489,0.060,23.049,-43.476,-3.963
1749646115499,2025-06-11T15.48.35.499,0.070,21.220,-33.720,-7.866
1749646115508,2025-06-11T15.48.35.508,0.079,17.927,-21.646,-10.061
1749646115518,2025-06-11T15.48.35.518,0.089,14.512,-8.720,-10.671
1749646115529,2025-06-11T15.48.35.529,0.100,11.037,3.659,-11.037
1749646115539,2025-06-11T15.48.35.539,0.110,7.317,13.780,-11.463
1749646115548,2025-06-11T15.48.35.548,0.119,2.134,18.902,-11.159
1749646115558,2025-06-11T15.48.35.558,0.129,-4.573,16.890,-9.573
1749646115568,2025-06-11T15.48.35.568,0.139,-10.671,10.244,-8.171
1749646115578,2025-06-11T15.48.35.578,0.149,-14.695,2.317,-8.963
1749646115587,2025-06-11T15.48.35.587,0.158,-18.841,-5.488,-11.098
1749646115597,2025-06-11T15.48.35.597,0.168,-23.598,-9.207,-12.256
1749646115608,2025-06-11T15.48.35.608,0.179,-28.476,-7.744,-12.500
1749646115618,2025-06-11T15.48.35.618,0.189,-31.402,-1.951,-14.207
1749646115627,2025-06-11T15.48.35.627,0.198,-32.988,4.817,-17.012
1749646115637,2025-06-11T15.48.35.637,0.208,-38.598,10.183,-17.683
1749646115647,2025-06-11T15.48.35.647,0.218,-46.707,12.805,-17.073
1749646115657,2025-06-11T15.48.35.657,0.228,-54.024,14.085,-18.049
1749646115666,2025-06-11T15.48.35.666,0.237,-59.634,14.085,-19.268
1749646115677,2025-06-11T15.48.35.677,0.248,-64.390,10.488,-20.244
1749646115687,2025-06-11T15.48.35.687,0.258,-68.841,6.829,-21.768
1749646115697,2025-06-11T15.48.35.697,0.268,-71.829,7.805,-24.024
1749646115706,2025-06-11T15.48.35.706,0.277,-72.927,16.341,-26.280
1749646115716,2025-06-11T15.48.35.716,0.287,-75.000,27.866,-27.744
1749646115726,2025-06-11T15.48.35.726,0.297,-79.817,36.037,-28.415
1749646115737,2025-06-11T15.48.35.737,0.308,-85.183,39.939,-29.451
1749646115745,2025-06-11T15.48.35.745,0.316,-87.866,40.305,-31.585
1749646115756,2025-06-11T15.48.35.756,0.327,-88.963,39.878,-33.720
1749646115766,2025-06-11T15.48.35.766,0.337,-90.427,40.061,-33.293
