epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749120112510,2025-06-05T13.41.52.510,0.000,129.146,-59.207,-13.476
1749120112520,2025-06-05T13.41.52.520,0.010,128.963,-60.061,-14.451
1749120112530,2025-06-05T13.41.52.530,0.020,127.561,-68.720,-17.256
1749120112539,2025-06-05T13.41.52.539,0.029,124.939,-86.463,-20.915
1749120112549,2025-06-05T13.41.52.549,0.039,124.878,-105.244,-24.146
1749120112559,2025-06-05T13.41.52.559,0.049,124.939,-119.085,-25.122
1749120112570,2025-06-05T13.41.52.570,0.060,123.476,-121.829,-24.634
1749120112578,2025-06-05T13.41.52.578,0.068,120.732,-111.585,-23.171
1749120112589,2025-06-05T13.41.52.589,0.079,116.280,-93.476,-22.134
1749120112599,2025-06-05T13.41.52.599,0.089,110.915,-75.061,-21.707
1749120112609,2025-06-05T13.41.52.609,0.099,106.037,-57.866,-20.793
1749120112618,2025-06-05T13.41.52.618,0.108,100.915,-41.402,-20.671
1749120112628,2025-06-05T13.41.52.628,0.118,96.037,-27.134,-21.341
1749120112638,2025-06-05T13.41.52.638,0.128,92.317,-24.451,-22.561
1749120112649,2025-06-05T13.41.52.649,0.139,89.024,-34.451,-23.902
1749120112657,2025-06-05T13.41.52.657,0.147,86.890,-44.573,-25.183
1749120112668,2025-06-05T13.41.52.668,0.158,85.183,-44.146,-25.000
1749120112678,2025-06-05T13.41.52.678,0.168,80.610,-37.805,-25.793
1749120112688,2025-06-05T13.41.52.688,0.178,72.622,-38.415,-24.512
1749120112697,2025-06-05T13.41.52.697,0.187,67.195,-41.463,-21.524
1749120112707,2025-06-05T13.41.52.707,0.197,62.866,-38.415,-20.427
1749120112718,2025-06-05T13.41.52.718,0.208,58.110,-29.085,-19.207
1749120112728,2025-06-05T13.41.52.728,0.218,53.049,-16.585,-17.500
1749120112737,2025-06-05T13.41.52.737,0.227,48.415,-6.768,-16.220
1749120112747,2025-06-05T13.41.52.747,0.237,43.049,-4.573,-15.305
1749120112757,2025-06-05T13.41.52.757,0.247,37.195,-6.707,-14.390
1749120112767,2025-06-05T13.41.52.767,0.257,33.049,-8.293,-12.744
1749120112776,2025-06-05T13.41.52.776,0.266,27.866,-8.171,-10.488
1749120112786,2025-06-05T13.41.52.786,0.276,21.646,-2.439,-8.415
1749120112797,2025-06-05T13.41.52.797,0.287,17.012,7.622,-5.366
1749120112807,2025-06-05T13.41.52.807,0.297,11.585,12.378,0.732
1749120112816,2025-06-05T13.41.52.816,0.306,6.646,9.451,4.634
1749120112826,2025-06-05T13.41.52.826,0.316,3.902,0.976,7.195
1749120112836,2025-06-05T13.41.52.836,0.326,-0.854,-6.341,5.000
1749120112846,2025-06-05T13.41.52.846,0.336,-6.768,-8.841,-3.415
1749120112855,2025-06-05T13.41.52.855,0.345,-11.768,-10.732,-8.293
1749120112865,2025-06-05T13.41.52.865,0.355,-15.427,-5.610,-6.707
1749120112876,2025-06-05T13.41.52.876,0.366,-18.293,1.280,-0.366
1749120112886,2025-06-05T13.41.52.886,0.376,-24.451,-7.683,2.866
1749120112895,2025-06-05T13.41.52.895,0.385,-24.390,-21.890,-2.683
1749120112905,2025-06-05T13.41.52.905,0.395,-19.939,-24.878,-9.573
1749120112915,2025-06-05T13.41.52.915,0.405,-22.622,-17.439,-16.951
1749120112926,2025-06-05T13.41.52.926,0.416,-27.744,-7.256,-21.829
1749120112934,2025-06-05T13.41.52.934,0.424,-31.951,-1.707,-22.073
1749120112945,2025-06-05T13.41.52.945,0.435,-36.829,0.244,-18.415
1749120112955,2025-06-05T13.41.52.955,0.445,-41.280,1.220,-14.634
