epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749119615061,2025-06-05T13.33.35.061,0.000,28.110,-23.232,12.012
1749119615072,2025-06-05T13.33.35.072,0.011,29.085,-23.110,12.622
1749119615082,2025-06-05T13.33.35.082,0.021,33.476,-22.134,12.622
1749119615091,2025-06-05T13.33.35.091,0.030,38.841,-21.098,13.232
1749119615101,2025-06-05T13.33.35.101,0.040,43.780,-20.427,14.329
1749119615111,2025-06-05T13.33.35.111,0.050,49.024,-19.146,15.915
1749119615121,2025-06-05T13.33.35.121,0.060,53.963,-17.439,16.646
1749119615130,2025-06-05T13.33.35.130,0.069,58.598,-17.500,16.098
1749119615140,2025-06-05T13.33.35.140,0.079,63.415,-20.061,15.488
1749119615151,2025-06-05T13.33.35.151,0.090,67.866,-24.878,15.183
1749119615161,2025-06-05T13.33.35.161,0.100,71.280,-30.244,16.037
1749119615170,2025-06-05T13.33.35.170,0.109,74.024,-34.695,17.988
1749119615180,2025-06-05T13.33.35.180,0.119,76.524,-37.927,19.512
1749119615190,2025-06-05T13.33.35.190,0.129,78.232,-40.366,21.098
1749119615200,2025-06-05T13.33.35.200,0.139,78.720,-41.707,22.378
1749119615209,2025-06-05T13.33.35.209,0.148,79.146,-42.256,22.927
1749119615219,2025-06-05T13.33.35.219,0.158,80.122,-41.829,23.476
1749119615230,2025-06-05T13.33.35.230,0.169,80.854,-40.488,23.110
1749119615240,2025-06-05T13.33.35.240,0.179,81.463,-38.415,21.890
1749119615250,2025-06-05T13.33.35.250,0.189,82.500,-37.012,20.183
1749119615259,2025-06-05T13.33.35.259,0.198,83.598,-37.378,17.683
1749119615269,2025-06-05T13.33.35.269,0.208,84.207,-38.293,14.756
1749119615280,2025-06-05T13.33.35.280,0.219,83.415,-37.988,12.500
1749119615288,2025-06-05T13.33.35.288,0.227,81.951,-36.402,10.976
1749119615299,2025-06-05T13.33.35.299,0.238,80.061,-34.451,9.390
1749119615309,2025-06-05T13.33.35.309,0.248,76.890,-31.037,7.500
1749119615319,2025-06-05T13.33.35.319,0.258,73.293,-24.756,4.939
1749119615328,2025-06-05T13.33.35.328,0.267,69.817,-16.829,2.683
1749119615338,2025-06-05T13.33.35.338,0.277,65.671,-7.073,1.524
1749119615348,2025-06-05T13.33.35.348,0.287,61.707,4.207,1.037
1749119615359,2025-06-05T13.33.35.359,0.298,56.707,15.183,1.280
1749119615367,2025-06-05T13.33.35.367,0.306,50.122,25.671,2.439
1749119615378,2025-06-05T13.33.35.378,0.317,43.963,37.561,3.659
1749119615388,2025-06-05T13.33.35.388,0.327,38.841,48.780,4.329
1749119615398,2025-06-05T13.33.35.398,0.337,33.476,57.073,5.061
1749119615407,2025-06-05T13.33.35.407,0.346,27.500,59.512,6.220
1749119615417,2025-06-05T13.33.35.417,0.356,21.524,55.488,8.476
1749119615427,2025-06-05T13.33.35.427,0.366,15.305,48.841,9.817
1749119615438,2025-06-05T13.33.35.438,0.377,7.683,43.659,10.488
1749119615447,2025-06-05T13.33.35.447,0.386,0.000,40.671,10.793
1749119615457,2025-06-05T13.33.35.457,0.396,-5.549,38.659,9.390
1749119615467,2025-06-05T13.33.35.467,0.406,-10.183,35.427,7.256
1749119615477,2025-06-05T13.33.35.477,0.416,-14.329,29.207,6.402
1749119615486,2025-06-05T13.33.35.486,0.425,-18.720,19.695,6.585
1749119615496,2025-06-05T13.33.35.496,0.435,-22.927,9.573,8.963
1749119615507,2025-06-05T13.33.35.507,0.446,-25.244,0.549,13.049
