epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749649291074,2025-06-11T16.41.31.074,0.000,-112.927,82.256,46.951
1749649291085,2025-06-11T16.41.31.085,0.011,-116.463,78.232,47.500
1749649291093,2025-06-11T16.41.31.093,0.019,-132.439,55.610,48.171
1749649291104,2025-06-11T16.41.31.104,0.030,-153.354,23.659,49.512
1749649291114,2025-06-11T16.41.31.114,0.040,-170.915,2.683,50.793
1749649291124,2025-06-11T16.41.31.124,0.050,-182.012,-0.244,52.500
1749649291133,2025-06-11T16.41.31.133,0.059,-184.756,6.585,55.244
1749649291143,2025-06-11T16.41.31.143,0.069,-181.524,8.049,55.610
1749649291154,2025-06-11T16.41.31.154,0.080,-176.768,-0.976,50.610
1749649291164,2025-06-11T16.41.31.164,0.090,-171.646,-14.878,44.085
1749649291173,2025-06-11T16.41.31.173,0.099,-167.378,-25.122,40.427
1749649291183,2025-06-11T16.41.31.183,0.109,-163.110,-30.427,40.366
1749649291193,2025-06-11T16.41.31.193,0.119,-155.915,-32.683,41.280
1749649291203,2025-06-11T16.41.31.203,0.129,-144.207,-35.854,40.793
1749649291212,2025-06-11T16.41.31.212,0.138,-129.268,-42.317,38.415
1749649291222,2025-06-11T16.41.31.222,0.148,-115.671,-46.220,31.463
1749649291233,2025-06-11T16.41.31.233,0.159,-103.537,-40.915,21.402
1749649291243,2025-06-11T16.41.31.243,0.169,-91.646,-30.061,14.634
1749649291252,2025-06-11T16.41.31.252,0.178,-80.976,-19.329,11.280
1749649291262,2025-06-11T16.41.31.262,0.188,-71.220,-11.585,8.293
1749649291272,2025-06-11T16.41.31.272,0.198,-59.756,-6.707,3.110
1749649291282,2025-06-11T16.41.31.282,0.208,-47.988,-3.354,-5.366
1749649291291,2025-06-11T16.41.31.291,0.217,-39.756,-3.293,-15.732
1749649291302,2025-06-11T16.41.31.302,0.228,-34.878,-10.183,-22.500
1749649291312,2025-06-11T16.41.31.312,0.238,-29.878,-23.415,-22.012
1749649291322,2025-06-11T16.41.31.322,0.248,-21.463,-47.134,-18.293
1749649291331,2025-06-11T16.41.31.331,0.257,-8.963,-83.963,-14.939
1749649291341,2025-06-11T16.41.31.341,0.267,6.098,-131.402,-13.720
1749649291351,2025-06-11T16.41.31.351,0.277,20.793,-176.585,-13.963
1749649291362,2025-06-11T16.41.31.362,0.288,33.720,-207.927,-12.500
1749649291370,2025-06-11T16.41.31.370,0.296,44.573,-220.915,-7.378
1749649291381,2025-06-11T16.41.31.381,0.307,54.756,-215.488,0.000
1749649291391,2025-06-11T16.41.31.391,0.317,65.366,-196.463,7.073
1749649291401,2025-06-11T16.41.31.401,0.327,76.159,-170.122,14.939
1749649291410,2025-06-11T16.41.31.410,0.336,88.354,-141.463,24.207
1749649291420,2025-06-11T16.41.31.420,0.346,102.378,-115.793,31.463
1749649291430,2025-06-11T16.41.31.430,0.356,116.220,-99.024,35.183
1749649291441,2025-06-11T16.41.31.441,0.367,127.439,-92.073,36.220
1749649291449,2025-06-11T16.41.31.449,0.375,136.463,-94.268,36.341
1749649291460,2025-06-11T16.41.31.460,0.386,143.415,-106.524,37.500
1749649291470,2025-06-11T16.41.31.470,0.396,147.988,-127.622,38.415
1749649291480,2025-06-11T16.41.31.480,0.406,152.317,-152.073,36.524
1749649291489,2025-06-11T16.41.31.489,0.415,157.866,-174.878,32.439
1749649291499,2025-06-11T16.41.31.499,0.425,164.695,-191.768,28.049
1749649291510,2025-06-11T16.41.31.510,0.436,171.341,-200.366,24.390
1749649291520,2025-06-11T16.41.31.520,0.446,177.012,-200.549,20.671
1749649291529,2025-06-11T16.41.31.529,0.455,180.732,-192.622,17.378
1749649291539,2025-06-11T16.41.31.539,0.465,180.122,-180.244,16.159
