epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749648583324,2025-06-11T16.29.43.324,0.000,-64.329,12.012,-75.061
1749648583334,2025-06-11T16.29.43.334,0.010,-64.878,11.402,-74.085
1749648583343,2025-06-11T16.29.43.343,0.019,-68.415,9.878,-73.049
1749648583353,2025-06-11T16.29.43.353,0.029,-74.024,8.659,-71.890
1749648583363,2025-06-11T16.29.43.363,0.039,-80.366,6.585,-70.549
1749648583373,2025-06-11T16.29.43.373,0.049,-85.488,2.439,-69.390
1749648583382,2025-06-11T16.29.43.382,0.058,-86.890,-3.476,-66.220
1749648583392,2025-06-11T16.29.43.392,0.068,-83.049,-8.780,-62.195
1749648583403,2025-06-11T16.29.43.403,0.079,-77.378,-11.585,-59.146
1749648583411,2025-06-11T16.29.43.411,0.087,-73.293,-10.244,-56.463
1749648583422,2025-06-11T16.29.43.422,0.098,-71.646,-6.402,-53.415
1749648583432,2025-06-11T16.29.43.432,0.108,-70.854,-3.598,-50.122
1749648583442,2025-06-11T16.29.43.442,0.118,-68.841,-2.317,-44.817
1749648583451,2025-06-11T16.29.43.451,0.127,-63.598,-2.988,-37.500
1749648583461,2025-06-11T16.29.43.461,0.137,-54.268,-6.524,-28.963
1749648583471,2025-06-11T16.29.43.471,0.147,-41.463,-10.366,-18.902
1749648583482,2025-06-11T16.29.43.482,0.158,-26.951,-12.195,-7.195
1749648583490,2025-06-11T16.29.43.490,0.166,-12.561,-12.378,6.646
1749648583501,2025-06-11T16.29.43.501,0.177,1.646,-12.378,21.037
1749648583511,2025-06-11T16.29.43.511,0.187,17.012,-13.537,34.329
1749648583521,2025-06-11T16.29.43.521,0.197,31.890,-14.512,45.610
1749648583530,2025-06-11T16.29.43.530,0.206,43.354,-12.622,55.549
1749648583540,2025-06-11T16.29.43.540,0.216,52.439,-3.110,65.305
1749648583551,2025-06-11T16.29.43.551,0.227,60.366,15.854,74.085
1749648583561,2025-06-11T16.29.43.561,0.237,66.951,37.683,80.915
1749648583570,2025-06-11T16.29.43.570,0.246,73.902,55.366,87.317
1749648583580,2025-06-11T16.29.43.580,0.256,80.488,62.866,94.390
1749648583590,2025-06-11T16.29.43.590,0.266,87.256,59.878,101.951
1749648583600,2025-06-11T16.29.43.600,0.276,94.878,51.037,112.439
1749648583609,2025-06-11T16.29.43.609,0.285,101.280,42.561,124.817
1749648583619,2025-06-11T16.29.43.619,0.295,106.707,38.415,136.951
1749648583630,2025-06-11T16.29.43.630,0.306,108.720,39.329,147.683
1749648583640,2025-06-11T16.29.43.640,0.316,104.878,42.744,157.622
1749648583649,2025-06-11T16.29.43.649,0.325,94.268,44.207,167.622
1749648583659,2025-06-11T16.29.43.659,0.335,81.951,39.756,176.646
1749648583669,2025-06-11T16.29.43.669,0.345,70.671,30.366,182.744
1749648583679,2025-06-11T16.29.43.679,0.355,61.585,14.207,184.024
1749648583688,2025-06-11T16.29.43.688,0.364,55.488,0.732,182.927
1749648583699,2025-06-11T16.29.43.699,0.375,47.744,1.098,183.476
1749648583709,2025-06-11T16.29.43.709,0.385,36.707,4.695,187.744
1749648583719,2025-06-11T16.29.43.719,0.395,23.110,3.720,192.988
1749648583728,2025-06-11T16.29.43.728,0.404,9.329,-1.768,191.890
1749648583738,2025-06-11T16.29.43.738,0.414,-1.890,-8.293,183.598
1749648583748,2025-06-11T16.29.43.748,0.424,-12.073,-11.341,174.451
1749648583759,2025-06-11T16.29.43.759,0.435,-21.280,-13.232,167.866
1749648583767,2025-06-11T16.29.43.767,0.443,-31.159,-16.524,161.890
1749648583778,2025-06-11T16.29.43.778,0.454,-40.793,-21.646,153.293
1749648583788,2025-06-11T16.29.43.788,0.464,-47.378,-27.317,142.317
1749648583798,2025-06-11T16.29.43.798,0.474,-51.220,-30.366,131.768
1749648583807,2025-06-11T16.29.43.807,0.483,-54.634,-29.085,122.195
1749648583817,2025-06-11T16.29.43.817,0.493,-61.159,-24.268,113.293
1749648583827,2025-06-11T16.29.43.827,0.503,-70.244,-19.146,105.488
1749648583838,2025-06-11T16.29.43.838,0.514,-79.329,-15.732,95.366
1749648583846,2025-06-11T16.29.43.846,0.522,-84.268,-15.976,82.195
1749648583857,2025-06-11T16.29.43.857,0.533,-85.366,-18.659,69.329
1749648583867,2025-06-11T16.29.43.867,0.543,-86.463,-20.610,59.268
1749648583877,2025-06-11T16.29.43.877,0.553,-89.451,-21.341,50.488
1749648583886,2025-06-11T16.29.43.886,0.562,-94.024,-22.439,42.012
1749648583896,2025-06-11T16.29.43.896,0.572,-98.293,-23.598,34.207
1749648583907,2025-06-11T16.29.43.907,0.583,-101.646,-25.244,26.646
1749648583917,2025-06-11T16.29.43.917,0.593,-104.146,-28.354,18.963
1749648583926,2025-06-11T16.29.43.926,0.602,-107.866,-31.768,11.646
1749648583936,2025-06-11T16.29.43.936,0.612,-112.927,-33.902,4.512
1749648583946,2025-06-11T16.29.43.946,0.622,-118.110,-33.780,-2.500
1749648583956,2025-06-11T16.29.43.956,0.632,-122.073,-31.280,-9.085
1749648583965,2025-06-11T16.29.43.965,0.641,-123.963,-26.280,-14.268
1749648583975,2025-06-11T16.29.43.975,0.651,-124.024,-18.780,-18.415
1749648583986,2025-06-11T16.29.43.986,0.662,-123.232,-11.585,-22.622
1749648583996,2025-06-11T16.29.43.996,0.672,-121.707,-6.280,-25.671
1749648584005,2025-06-11T16.29.44.005,0.681,-121.707,-2.256,-26.463
1749648584015,2025-06-11T16.29.44.015,0.691,-123.963,-3.415,-28.415
1749648584025,2025-06-11T16.29.44.025,0.701,-126.280,-10.854,-32.866
1749648584035,2025-06-11T16.29.44.035,0.711,-128.171,-19.756,-37.073
1749648584044,2025-06-11T16.29.44.044,0.720,-128.110,-22.683,-38.415
1749648584054,2025-06-11T16.29.44.054,0.730,-125.610,-15.305,-38.171
1749648584065,2025-06-11T16.29.44.065,0.741,-122.988,0.366,-37.805
1749648584075,2025-06-11T16.29.44.075,0.751,-118.780,15.915,-37.744
1749648584084,2025-06-11T16.29.44.084,0.760,-110.976,24.085,-37.073
1749648584094,2025-06-11T16.29.44.094,0.770,-101.585,25.793,-36.341
1749648584104,2025-06-11T16.29.44.104,0.780,-92.134,25.610,-35.549
1749648584115,2025-06-11T16.29.44.115,0.791,-81.585,25.976,-33.659
1749648584123,2025-06-11T16.29.44.123,0.799,-68.537,28.659,-31.280
1749648584134,2025-06-11T16.29.44.134,0.810,-52.927,33.293,-28.902
1749648584144,2025-06-11T16.29.44.144,0.820,-35.549,39.512,-25.488
1749648584154,2025-06-11T16.29.44.154,0.830,-18.354,45.000,-20.244
1749648584163,2025-06-11T16.29.44.163,0.839,-1.280,45.305,-13.293
1749648584173,2025-06-11T16.29.44.173,0.849,14.329,40.061,-6.524
1749648584183,2025-06-11T16.29.44.183,0.859,27.439,32.134,-1.524
1749648584194,2025-06-11T16.29.44.194,0.870,39.085,25.732,2.195
1749648584202,2025-06-11T16.29.44.202,0.878,49.756,23.171,5.000
1749648584213,2025-06-11T16.29.44.213,0.889,59.634,24.390,6.890
1749648584223,2025-06-11T16.29.44.223,0.899,68.415,28.171,7.378
1749648584233,2025-06-11T16.29.44.233,0.909,74.207,30.915,7.805
1749648584242,2025-06-11T16.29.44.242,0.918,78.476,30.732,10.671
1749648584252,2025-06-11T16.29.44.252,0.928,84.756,30.854,16.768
1749648584262,2025-06-11T16.29.44.262,0.938,91.829,32.439,24.207
1749648584273,2025-06-11T16.29.44.273,0.949,98.963,31.159,29.024
1749648584282,2025-06-11T16.29.44.282,0.958,109.634,24.817,30.732
1749648584292,2025-06-11T16.29.44.292,0.968,120.610,17.073,30.549
1749648584302,2025-06-11T16.29.44.302,0.978,128.171,6.159,27.134
1749648584312,2025-06-11T16.29.44.312,0.988,135.427,-10.793,21.829
1749648584321,2025-06-11T16.29.44.321,0.997,142.378,-29.024,18.659
1749648584331,2025-06-11T16.29.44.331,1.007,148.415,-46.341,17.866
1749648584342,2025-06-11T16.29.44.342,1.018,154.268,-62.561,17.744
