epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1749647834496,2025-06-11T16.17.14.496,0.000,-90.366,30.732,-48.232
1749647834505,2025-06-11T16.17.14.505,0.009,-91.098,31.341,-48.659
1749647834515,2025-06-11T16.17.14.515,0.019,-90.610,30.244,-47.683
1749647834525,2025-06-11T16.17.14.525,0.029,-92.012,29.390,-47.012
1749647834536,2025-06-11T16.17.14.536,0.040,-94.817,30.915,-47.317
1749647834544,2025-06-11T16.17.14.544,0.048,-99.573,35.488,-47.988
1749647834555,2025-06-11T16.17.14.555,0.059,-103.110,40.854,-49.024
1749647834565,2025-06-11T16.17.14.565,0.069,-101.463,45.000,-51.341
1749647834575,2025-06-11T16.17.14.575,0.079,-97.866,49.817,-54.512
1749647834584,2025-06-11T16.17.14.584,0.088,-94.939,54.878,-57.195
1749647834594,2025-06-11T16.17.14.594,0.098,-93.476,58.659,-59.817
1749647834604,2025-06-11T16.17.14.604,0.108,-95.976,61.829,-61.463
1749647834615,2025-06-11T16.17.14.615,0.119,-100.610,63.963,-61.585
1749647834623,2025-06-11T16.17.14.623,0.127,-102.256,62.561,-61.646
1749647834634,2025-06-11T16.17.14.634,0.138,-101.707,55.671,-62.866
1749647834644,2025-06-11T16.17.14.644,0.148,-99.146,45.427,-63.963
1749647834654,2025-06-11T16.17.14.654,0.158,-93.110,36.646,-64.756
1749647834663,2025-06-11T16.17.14.663,0.167,-87.683,33.415,-64.634
1749647834673,2025-06-11T16.17.14.673,0.177,-88.780,34.756,-62.927
1749647834683,2025-06-11T16.17.14.683,0.187,-95.488,36.402,-59.573
1749647834694,2025-06-11T16.17.14.694,0.198,-101.829,40.305,-56.341
1749647834703,2025-06-11T16.17.14.703,0.207,-101.159,43.232,-54.695
1749647834713,2025-06-11T16.17.14.713,0.217,-96.159,40.488,-52.561
1749647834723,2025-06-11T16.17.14.723,0.227,-89.939,34.207,-49.756
1749647834733,2025-06-11T16.17.14.733,0.237,-82.988,28.476,-48.354
1749647834742,2025-06-11T16.17.14.742,0.246,-76.341,26.707,-47.683
1749647834752,2025-06-11T16.17.14.752,0.256,-72.683,29.207,-45.854
1749647834763,2025-06-11T16.17.14.763,0.267,-70.244,33.293,-43.841
1749647834773,2025-06-11T16.17.14.773,0.277,-65.915,34.024,-43.110
1749647834782,2025-06-11T16.17.14.782,0.286,-59.573,30.061,-42.927
1749647834792,2025-06-11T16.17.14.792,0.296,-51.402,22.134,-42.012
1749647834802,2025-06-11T16.17.14.802,0.306,-42.561,13.293,-40.671
1749647834812,2025-06-11T16.17.14.812,0.316,-36.159,6.220,-38.476
1749647834821,2025-06-11T16.17.14.821,0.325,-32.073,1.037,-36.220
1749647834831,2025-06-11T16.17.14.831,0.335,-28.902,-2.988,-33.720
1749647834842,2025-06-11T16.17.14.842,0.346,-26.890,-4.085,-30.366
1749647834852,2025-06-11T16.17.14.852,0.356,-24.634,-4.085,-26.280
1749647834861,2025-06-11T16.17.14.861,0.365,-21.280,-5.854,-22.622
1749647834871,2025-06-11T16.17.14.871,0.375,-17.378,-8.659,-20.061
1749647834881,2025-06-11T16.17.14.881,0.385,-13.780,-12.866,-18.232
1749647834891,2025-06-11T16.17.14.891,0.395,-9.329,-16.220,-17.317
1749647834900,2025-06-11T16.17.14.900,0.404,-5.000,-16.646,-16.159
1749647834911,2025-06-11T16.17.14.911,0.415,-3.232,-12.927,-16.402
1749647834921,2025-06-11T16.17.14.921,0.425,-3.415,-8.354,-16.585
1749647834931,2025-06-11T16.17.14.931,0.435,-2.744,-3.841,-15.915
1749647834940,2025-06-11T16.17.14.940,0.444,-1.098,-2.500,-15.366
1749647834950,2025-06-11T16.17.14.950,0.454,1.402,-3.293,-15.549
1749647834960,2025-06-11T16.17.14.960,0.464,3.476,-4.085,-14.085
1749647834971,2025-06-11T16.17.14.971,0.475,4.512,-4.817,-11.098
1749647834979,2025-06-11T16.17.14.979,0.483,4.939,-6.159,-9.085
1749647834990,2025-06-11T16.17.14.990,0.494,5.061,-7.561,-8.232
1749647835000,2025-06-11T16.17.15.000,0.504,5.000,-9.024,-7.012
1749647835010,2025-06-11T16.17.15.010,0.514,5.000,-8.232,-5.732
1749647835019,2025-06-11T16.17.15.019,0.523,2.256,-5.488,-5.427
1749647835029,2025-06-11T16.17.15.029,0.533,-2.805,-2.378,-5.000
1749647835039,2025-06-11T16.17.15.039,0.543,-7.195,0.183,-2.744
1749647835050,2025-06-11T16.17.15.050,0.554,-9.207,1.341,-0.061
1749647835058,2025-06-11T16.17.15.058,0.562,-9.329,1.159,2.561
1749647835069,2025-06-11T16.17.15.069,0.573,-9.085,-0.183,5.122
1749647835079,2025-06-11T16.17.15.079,0.583,-8.354,-0.061,8.476
1749647835089,2025-06-11T16.17.15.089,0.593,-7.073,3.659,13.293
1749647835098,2025-06-11T16.17.15.098,0.602,-5.122,9.939,18.537
1749647835108,2025-06-11T16.17.15.108,0.612,-2.988,16.585,24.329
1749647835119,2025-06-11T16.17.15.119,0.623,-0.122,22.500,32.317
1749647835129,2025-06-11T16.17.15.129,0.633,5.366,27.744,41.707
1749647835138,2025-06-11T16.17.15.138,0.642,13.659,31.098,51.280
1749647835148,2025-06-11T16.17.15.148,0.652,23.841,32.561,60.610
1749647835158,2025-06-11T16.17.15.158,0.662,32.378,36.037,71.707
1749647835168,2025-06-11T16.17.15.168,0.672,37.622,43.963,84.695
1749647835177,2025-06-11T16.17.15.177,0.681,40.549,54.024,97.866
1749647835187,2025-06-11T16.17.15.187,0.691,41.463,62.561,109.512
1749647835198,2025-06-11T16.17.15.198,0.702,40.183,67.134,121.341
1749647835208,2025-06-11T16.17.15.208,0.712,37.317,67.561,134.451
1749647835217,2025-06-11T16.17.15.217,0.721,33.476,64.207,147.134
1749647835227,2025-06-11T16.17.15.227,0.731,28.780,57.439,157.134
1749647835237,2025-06-11T16.17.15.237,0.741,23.171,49.390,165.305
1749647835247,2025-06-11T16.17.15.247,0.751,17.500,42.195,172.866
1749647835256,2025-06-11T16.17.15.256,0.760,10.915,38.232,178.171
1749647835266,2025-06-11T16.17.15.266,0.770,3.476,35.610,181.890
1749647835277,2025-06-11T16.17.15.277,0.781,-4.695,30.915,184.573
1749647835287,2025-06-11T16.17.15.287,0.791,-12.683,24.390,185.488
1749647835296,2025-06-11T16.17.15.296,0.800,-19.939,19.573,184.817
1749647835306,2025-06-11T16.17.15.306,0.810,-26.524,16.707,182.439
1749647835316,2025-06-11T16.17.15.316,0.820,-32.073,15.915,177.805
1749647835327,2025-06-11T16.17.15.327,0.831,-36.646,16.890,170.610
1749647835335,2025-06-11T16.17.15.335,0.839,-39.634,17.500,162.378
1749647835346,2025-06-11T16.17.15.346,0.850,-41.098,16.707,154.390
1749647835356,2025-06-11T16.17.15.356,0.860,-42.988,13.841,147.195
1749647835366,2025-06-11T16.17.15.366,0.870,-46.646,10.366,140.732
1749647835375,2025-06-11T16.17.15.375,0.879,-51.707,5.488,134.329
1749647835385,2025-06-11T16.17.15.385,0.889,-54.573,-0.427,126.585
1749647835395,2025-06-11T16.17.15.395,0.899,-55.549,-4.878,117.866
1749647835406,2025-06-11T16.17.15.406,0.910,-56.402,-5.976,109.268
1749647835414,2025-06-11T16.17.15.414,0.918,-57.012,-5.671,101.037
1749647835425,2025-06-11T16.17.15.425,0.929,-56.890,-5.854,92.561
1749647835435,2025-06-11T16.17.15.435,0.939,-56.646,-6.098,84.390
1749647835445,2025-06-11T16.17.15.445,0.949,-57.256,-7.561,76.768
1749647835454,2025-06-11T16.17.15.454,0.958,-57.927,-10.305,69.695
1749647835464,2025-06-11T16.17.15.464,0.968,-58.659,-14.146,62.073
1749647835474,2025-06-11T16.17.15.474,0.978,-58.841,-18.354,53.110
1749647835485,2025-06-11T16.17.15.485,0.989,-58.659,-21.341,45.061
1749647835494,2025-06-11T16.17.15.494,0.998,-58.720,-22.561,38.476
1749647835504,2025-06-11T16.17.15.504,1.008,-58.963,-23.171,32.012
1749647835514,2025-06-11T16.17.15.514,1.018,-59.817,-24.085,25.366
1749647835524,2025-06-11T16.17.15.524,1.028,-60.854,-24.634,19.512
1749647835533,2025-06-11T16.17.15.533,1.037,-62.866,-24.329,13.537
1749647835543,2025-06-11T16.17.15.543,1.047,-65.488,-23.293,6.951
1749647835554,2025-06-11T16.17.15.554,1.058,-67.256,-21.890,1.890
1749647835564,2025-06-11T16.17.15.564,1.068,-69.085,-20.427,-1.829
1749647835573,2025-06-11T16.17.15.573,1.077,-71.890,-18.110,-5.915
1749647835583,2025-06-11T16.17.15.583,1.087,-75.305,-14.329,-9.329
1749647835593,2025-06-11T16.17.15.593,1.097,-76.463,-10.305,-11.829
1749647835603,2025-06-11T16.17.15.603,1.107,-75.549,-7.439,-13.293
